"","ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000036306","ENSMUSG00000036306","Lzts1",0.0710003440014799,0.0352767167379969,0.117918903868842,0.907162536862646,0.991432429581756,-5.71663613282994
"ENSMUSG00000001521","ENSMUSG00000001521","Tulp3",-0.100263949863945,1.66825640469092,-0.117865929437523,0.907204042420511,0.991432429581756,-5.463788980747
"ENSMUSG00000013629","ENSMUSG00000013629","Cad",0.017169639441887,6.74843961846837,0.117824539375891,0.907236471792974,0.991432429581756,-7.07930003379755
"ENSMUSG00000028860","ENSMUSG00000028860","Sytl1",-0.10301707812488,3.18401376048283,-0.117807287562058,0.907249988745853,0.991432429581756,-5.44652544654077
"ENSMUSG00000047260","ENSMUSG00000047260","Emc6",-0.016651612046461,7.43771892608922,-0.117445835686876,0.907533196157604,0.991432429581756,-7.08152129919541
"ENSMUSG00000008845","ENSMUSG00000008845","Cd163",0.0710003440014801,0.533106492225692,0.117424374937744,0.907550011635217,0.991432429581756,-5.71669047219312
"ENSMUSG00000026875","ENSMUSG00000026875","Traf1",-0.0192875254508973,8.48230418252278,-0.117246909721331,0.907689065435078,0.991432429581756,-7.19656634375133
"ENSMUSG00000038213","ENSMUSG00000038213","Tapbpl",0.0290085489237795,6.6416297525092,0.117198886116404,0.907726695101332,0.991432429581756,-6.71800464109902
"ENSMUSG00000049354","ENSMUSG00000049354","Dcaf7",-0.018939923943134,7.39169349644646,-0.117038032232236,0.907852736352215,0.991432429581756,-7.01611086431208
"ENSMUSG00000022248","ENSMUSG00000022248","Rad1",-0.0358317122167424,4.74594404276775,-0.116623530311324,0.908177541528737,0.991432429581756,-6.11203358738626
"ENSMUSG00000098923","ENSMUSG00000098923","Tmem185b",0.0173672756519485,6.32408866217689,0.116397266487483,0.90835484957864,0.991432429581756,-6.9224127981915
"ENSMUSG00000001376","ENSMUSG00000001376","Vps50",0.0256093487477349,5.41666024043711,0.116123385146663,0.908569478855003,0.991432429581756,-6.57328570719935
"ENSMUSG00000022283","ENSMUSG00000022283","Pabpc1",0.0179943823765534,9.36392137819045,0.115984613286558,0.908678231238554,0.991432429581756,-7.2112399312405
"ENSMUSG00000030882","ENSMUSG00000030882","Dnhd1",0.0710003440014801,-0.0892571825165283,0.115868916162998,0.908768901866273,0.991432429581756,-5.71685990083347
"ENSMUSG00000094840","ENSMUSG00000094840","Muc3a",0.0710003440014801,-0.113530261639419,0.11577303457902,0.908844044223392,0.991432429581756,-5.71687027092347
"ENSMUSG00000078920","ENSMUSG00000078920","Ifi47",0.0184109681959814,7.88390556294206,0.115724649175342,0.908881964174331,0.991432429581756,-6.96142646754022
"ENSMUSG00000040767","ENSMUSG00000040767","Snrnp25",0.0336754702394693,5.38611210020371,0.115716694257636,0.908888198515519,0.991432429581756,-6.27949040323169
"ENSMUSG00000078780","ENSMUSG00000078780","Gm5150",0.0710003440014799,0.251638373320405,0.115676683393791,0.90891955548334,0.991432429581756,-5.71688068316651
