"","ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000031578","ENSMUSG00000031578","Mak16",-0.150061854028698,5.63213721177372,-0.368936799446879,0.715571976685083,0.982914618375091,-6.18073982756576
"ENSMUSG00000030876","ENSMUSG00000030876","Mettl9",-0.0918063388861077,5.40131278082804,-0.368776609265075,0.715689758783654,0.982914618375091,-6.47945319905313
"ENSMUSG00000020441","ENSMUSG00000020441","2310033P09Rik",-0.12989050269701,4.79878322875462,-0.368733571196952,0.715721404362955,0.982914618375091,-6.15221773054682
"ENSMUSG00000026667","ENSMUSG00000026667","Uhmk1",-0.0942346430408607,6.24396399651875,-0.368387774514024,0.715975685064202,0.982914618375091,-6.5572833290369
"ENSMUSG00000022983","ENSMUSG00000022983","Scaf4",0.108253713228701,6.47781305673468,0.368247336231466,0.716078965593096,0.982914618375091,-6.52577601345328
"ENSMUSG00000056167","ENSMUSG00000056167","Cnot10",-0.105186318240949,6.39562027318655,-0.368141751047874,0.716156618252979,0.982914618375091,-6.67904589050056
"ENSMUSG00000042520","ENSMUSG00000042520","Ubap2l",-0.0717676538382399,8.10205220825635,-0.368121025131503,0.716171861503122,0.982914618375091,-6.98736936302658
"ENSMUSG00000021258","ENSMUSG00000021258","Ccnk",0.170648926750816,3.89175627083336,0.36802619289102,0.716241609129178,0.982914618375091,-6.0240052490776
"ENSMUSG00000033543","ENSMUSG00000033543","Gtf2a2",-0.0666656363502973,7.04536513269749,-0.367926515702439,0.71631492286132,0.982914618375091,-6.80972371347184
"ENSMUSG00000063873","ENSMUSG00000063873","Slc24a3",0.249129654017074,-0.179014661722184,0.367480935004407,0.716642686752062,0.982914618375091,-5.64800074656095
"ENSMUSG00000017897","ENSMUSG00000017897","Eya2",0.127948571295824,2.76021996236734,0.367422089697841,0.716685976827978,0.982914618375091,-6.41078556071976
"ENSMUSG00000020260","ENSMUSG00000020260","Pofut2",0.11486947941073,6.13246821671536,0.367386605185468,0.716712081796191,0.982914618375091,-6.58927018454684
"ENSMUSG00000025240","ENSMUSG00000025240","Sacm1l",0.200572760496485,4.28801420653514,0.367172388701847,0.716869682401168,0.982914618375091,-5.8966522756732
"ENSMUSG00000026504","ENSMUSG00000026504","Sdccag8",-0.173574548715359,3.76969603206207,-0.367092889925999,0.716928173494317,0.982914618375091,-6.03549798148093
"ENSMUSG00000005034","ENSMUSG00000005034","Prkacb",-0.0588419053014846,6.97836197317874,-0.366275630033383,0.717529573752979,0.982914618375091,-6.99853132737454
"ENSMUSG00000035713","ENSMUSG00000035713","Usp35",0.35311259147637,2.25831848349821,0.366149929881255,0.717622089806592,0.982914618375091,-5.55997669322859
"ENSMUSG00000059363","ENSMUSG00000059363","Fxn",-0.143484592682447,4.9118286446679,-0.366067017068231,0.717683116544765,0.982914618375091,-6.11043315011956
"ENSMUSG00000024381","ENSMUSG00000024381","Bin1",0.0674957436410972,6.65211303054428,0.365973276421467,0.717752115263289,0.982914618375091,-6.91394403270377
"ENSMUSG00000071369","ENSMUSG00000071369","Map3k5",-0.154351170032438,4.75763353561596,-0.365853457833016,0.717840312481827,0.982914618375091,-6.2942737835529
"ENSMUSG00000048668","ENSMUSG00000048668","Rhno1",0.105405867380616,5.35453624688064,0.365720446969833,0.717938225095685,0.982914618375091,-6.33287499607688
"ENSMUSG00000084957","ENSMUSG00000084957","Bbip1",-0.105663318066997,5.64738556647656,-0.365699781637842,0.717953437805633,0.982914618375091,-6.39945920849998
"ENSMUSG00000052151","ENSMUSG00000052151","Plpp2",-0.372527820074931,1.06024126179459,-0.365698468230868,0.717954404669494,0.982914618375091,-5.41599066303723
"ENSMUSG00000039483","ENSMUSG00000039483","Asb6",-0.0888797089714792,7.17987887585271,-0.365471128715875,0.718121767794626,0.982914618375091,-6.80147499862396
"ENSMUSG00000038593","ENSMUSG00000038593","Tctn1",0.313702328743196,0.212314039881453,0.365433815716383,0.718149238310072,0.982914618375091,-5.42958406201733
"ENSMUSG00000034574","ENSMUSG00000034574","Daam1",-0.228741333520032,3.06480422327307,-0.365254393967277,0.718281337324419,0.982914618375091,-5.68727989472533
"ENSMUSG00000044952","ENSMUSG00000044952","Kctd21",-0.433258432757453,0.545947819236328,-0.365087993099757,0.718403857762344,0.982914618375091,-5.40972101793046
"ENSMUSG00000005102","ENSMUSG00000005102","Eif2ak4",0.227856256036773,4.17253570397415,0.365077564540345,0.718411536535242,0.982914618375091,-5.92740678690994
"ENSMUSG00000036822","ENSMUSG00000036822","Topors",0.0993753906764345,6.42156799691835,0.365055418059841,0.718427843566432,0.982914618375091,-6.72087268091756
"ENSMUSG00000019210","ENSMUSG00000019210","Atp6v1e1",-0.0691775570025825,7.1985045673192,-0.365017828492516,0.718455522058384,0.982914618375091,-6.8405890139649
"ENSMUSG00000030029","ENSMUSG00000030029","Lrig1",-0.118000252153045,6.90543640762915,-0.36498067497106,0.718482879862027,0.982914618375091,-6.536070881049
"ENSMUSG00000021619","ENSMUSG00000021619","Atg10",0.283759939028827,1.87901334445117,0.364946423458975,0.718508101127104,0.982914618375091,-5.62290900759027
"ENSMUSG00000020986","ENSMUSG00000020986","Sec23a",0.203099421686088,4.15569596909762,0.364862447472868,0.718569938631226,0.982914618375091,-6.01471339520883
"ENSMUSG00000051444","ENSMUSG00000051444","Bbs12",-0.390632737089459,2.56283670119165,-0.364624454602639,0.718745200425953,0.982914618375091,-5.40730137631881
"ENSMUSG00000034748","ENSMUSG00000034748","Sirt6",-0.272576331673646,3.63077603325252,-0.364367661049797,0.718934325049809,0.982914618375091,-5.9261769536945
"ENSMUSG00000055447","ENSMUSG00000055447","Cd47",0.0412625814299119,8.9564600600067,0.364250885817615,0.719020334342725,0.982914618375091,-7.18403352027468
"ENSMUSG00000022377","ENSMUSG00000022377","Asap1",-0.0887364151995182,6.2874528958308,-0.364000475218546,0.719204783842065,0.982914618375091,-6.81801876083119
"ENSMUSG00000026309","ENSMUSG00000026309","Ilkap",0.0522326801942468,7.33213158514371,0.364000258029604,0.719204943828458,0.982914618375091,-6.9370059405412
"ENSMUSG00000033793","ENSMUSG00000033793","Atp6v1h",-0.0859465678289331,6.785732868025,-0.363658748339895,0.71945652398817,0.982914618375091,-6.73391383100939
"ENSMUSG00000004364","ENSMUSG00000004364","Cul3",0.0683796016439775,7.52981673523997,0.363501098216149,0.719572671145899,0.982914618375091,-6.98144471811376
"ENSMUSG00000002076","ENSMUSG00000002076","Hsf2bp",0.305928186313215,0.965586516940918,0.363490644238414,0.719580373254062,0.982914618375091,-5.47330555290376
"ENSMUSG00000061972","ENSMUSG00000061972","Olfr99",0.368622602444294,0.331844708172814,0.363315759678918,0.719709226299998,0.982914618375091,-5.40820260105799
"ENSMUSG00000031822","ENSMUSG00000031822","Gse1",0.159020315330608,3.59382420469903,0.363305556848095,0.71971674389739,0.982914618375091,-5.90332146368123
"ENSMUSG00000022205","ENSMUSG00000022205","Sub1",-0.0586985301776437,9.00147573952167,-0.363283440413199,0.719733039714615,0.982914618375091,-7.15998684251513
"ENSMUSG00000024797","ENSMUSG00000024797","Vps51",-0.117416487895643,6.09127428462382,-0.362734641413462,0.720137448937817,0.982914618375091,-6.53697227351214
"ENSMUSG00000028992","ENSMUSG00000028992","Nmnat1",0.281577138905277,2.99785966328706,0.362653295282936,0.720197399901901,0.982914618375091,-5.62238651764273
"ENSMUSG00000029265","ENSMUSG00000029265","Dr1",-0.105647547447785,6.05805622585203,-0.362585831388112,0.720247121244168,0.982914618375091,-6.52974257977321
"ENSMUSG00000000884","ENSMUSG00000000884","Gnb1l",0.176801484352445,4.69626051096088,0.36248104588801,0.720324351362202,0.982914618375091,-6.02029721208009
"ENSMUSG00000018707","ENSMUSG00000018707","Dync1h1",-0.0772651546684768,7.04609913482572,-0.362475988750172,0.720328078704456,0.982914618375091,-6.93301393933218
"ENSMUSG00000040842","ENSMUSG00000040842","Szrd1",-0.100730496924852,5.73523577774317,-0.361970562814029,0.720700636527224,0.982914618375091,-6.25733002752623
"ENSMUSG00000026469","ENSMUSG00000026469","Xpr1",-0.107998219664667,5.1619526497423,-0.361915493300667,0.720741233452397,0.982914618375091,-6.34372102847387
