"ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000031812","Map1lc3b",0.131273942256386,7.76330692712757,0.689191444002682,0.497643426409532,0.941670802505879,-6.64507543247405
"ENSMUSG00000028329","Xpa",-0.40168269347449,3.79556969325776,-0.689116930404022,0.497689439735918,0.941670802505879,-5.45877983476085
"ENSMUSG00000029623","Pdap1",-0.127102567580745,5.7212370426435,-0.688725949877704,0.497930915992512,0.941670802505879,-6.39957678697925
"ENSMUSG00000013822","Elof1",-0.133175352404322,5.94662980161191,-0.688450566755185,0.49810103723148,0.941670802505879,-6.44221411140906
"ENSMUSG00000030083","Abtb1",0.279883106648709,5.70505644571283,0.688181476939557,0.498267302565986,0.941670802505879,-5.91771431311721
"ENSMUSG00000033809","Alg3",-0.142232098428305,6.03164087249065,-0.688009826794881,0.498373378282809,0.941670802505879,-6.559454577282
"ENSMUSG00000026489","Coq8a",-0.737419478673996,3.72354574246699,-0.687512004704906,0.498681092972603,0.941670802505879,-5.39218404877349
"ENSMUSG00000052310","Slc39a1",0.385715965154842,2.75673442455605,0.686651026280163,0.499213536740392,0.941670802505879,-5.49330759584119
"ENSMUSG00000037318","Traf3ip3",0.24912973229799,6.51543568114282,0.686316125573024,0.499420732057437,0.941670802505879,-6.0254656698799
"ENSMUSG00000060216","Arrb2",0.164427638522754,6.39197059859515,0.686112523913225,0.499546719501077,0.941670802505879,-6.09561532101401
"ENSMUSG00000020894","Vamp2",0.147411543005096,6.47357361475366,0.685626149530475,0.499847757807061,0.941670802505879,-6.34310854280001
"ENSMUSG00000039031","Arhgap18",-0.522641567038951,3.19336191373977,-0.685518352827988,0.499914491787619,0.941670802505879,-5.3333681502722
"ENSMUSG00000042842","Serpinb6b",-0.267747608064567,4.14027930626259,-0.684790005541575,0.500365523756529,0.941670802505879,-5.79863401664606
"ENSMUSG00000020227","Irak3",-0.624418420498375,1.37246349230574,-0.684542680662041,0.500518733025998,0.941670802505879,-5.25477440937809
"ENSMUSG00000006587","Snai3",0.601138380157165,0.706421491645745,0.684258795800588,0.500694622654011,0.941670802505879,-5.34504114699468
"ENSMUSG00000025995","Wdr75",0.0931918179901556,6.78826015733656,0.684203551471277,0.500728855045937,0.941670802505879,-6.80567127934094
"ENSMUSG00000039615","Stub1",0.107996231696392,6.08380421473833,0.684024216192078,0.500839990062613,0.941670802505879,-6.51726258463006
"ENSMUSG00000032324","Tspan3",-0.148936928616706,6.31671201190184,-0.683995164364748,0.500857994945506,0.941670802505879,-6.61295531519123
"ENSMUSG00000096054","Syne1",0.576331310100334,2.50202444791379,0.683573159490339,0.501119573916273,0.941670802505879,-5.25441680514881
"ENSMUSG00000062014","Gmfb",0.117485266812286,6.85601988886865,0.683408846611815,0.501221443842585,0.941670802505879,-6.74082194498064
"ENSMUSG00000060336","Zfp937",-0.499856432778193,0.978163222360873,-0.683069027250481,0.501432160576228,0.941689927343255,-5.39461377290552
"ENSMUSG00000026393","Nek7",-0.201412987814765,6.14918875230324,-0.682115793036358,0.502023513381654,0.942086877644107,-6.1610379170227
"ENSMUSG00000042613","Pbxip1",0.176973661863951,6.77581549001334,0.681935973933358,0.502135110915669,0.942086877644107,-6.26695106607929
"ENSMUSG00000063179","Pstk",-0.408018655592046,4.0166437920553,-0.681930659520623,0.502138409306367,0.942086877644107,-5.53430707527602
"ENSMUSG00000029804","Herc3",-0.215785237285526,5.77073701748459,-0.681035851832145,0.502693946093123,0.942172228796521,-6.0727166375132
"ENSMUSG00000041488","Stx3",0.460789185437664,2.40044434066478,0.68094465893086,0.502750582196614,0.942172228796521,-5.39030155004119
"ENSMUSG00000042712","Tceal9",0.278708985737859,5.16272632179964,0.680225687232611,0.503197231487251,0.942172228796521,-5.83532639052721
"ENSMUSG00000093904","Tomm20",-0.087982052003956,6.67630905438333,-0.680206380125045,0.503209228791323,0.942172228796521,-6.75435047335118
"ENSMUSG00000051510","Mafg",-0.134570740749051,6.13836189031182,-0.679207667120656,0.503830041967227,0.942172228796521,-6.72622848510531
"ENSMUSG00000098112","Bin2",-0.168926647022418,8.20127191247766,-0.677454745159718,0.5049207233149,0.942172228796521,-6.59443624233293
"ENSMUSG00000033213","AA467197",0.47975812738351,0.501454512773636,0.676454641411704,0.505543589682473,0.942172228796521,-5.27564829872333
"ENSMUSG00000062580","Timm17a",-0.0950080082293034,7.16896510295244,-0.676062827870856,0.505787729456479,0.942172228796521,-6.82233229353681
"ENSMUSG00000044949","Ubtd2",-0.341485616266912,2.20934935117441,-0.675970906960057,0.505845015139373,0.942172228796521,-5.67005941090959
"ENSMUSG00000022587","Ly6e",0.0884257022420982,10.1907350981574,0.675877318743985,0.505903343639542,0.942172228796521,-7.04153740394456
"ENSMUSG00000035069","Oma1",-0.368799347150526,4.09999246184902,-0.675567765289645,0.506096298550216,0.942172228796521,-5.60465687438187
"ENSMUSG00000015647","Lama5",-0.618934843033017,0.473089874544588,-0.675427608420129,0.506183676547223,0.942172228796521,-5.27355082594825
"ENSMUSG00000040177","2310057M21Rik",-0.176696923929404,5.09158600974086,-0.675203986743226,0.506323106536438,0.942172228796521,-6.23327390329959
"ENSMUSG00000022436","Sh3bp1",-0.141989197872242,7.1941845805186,-0.675116926652208,0.506377395059767,0.942172228796521,-6.506928496448
"ENSMUSG00000026970","Rbms1",0.2123290789994,6.49557176398812,0.675073386381447,0.506404546922594,0.942172228796521,-6.02637262485938
"ENSMUSG00000032376","Usp3",0.166746857272433,6.6028349356595,0.675044287514028,0.506422693531866,0.942172228796521,-6.33879535440779
"ENSMUSG00000020381","Mrnip",0.532833233545966,0.319472120551169,0.674457124104372,0.506788937776821,0.942339953588664,-5.31092483267836
"ENSMUSG00000010362","Rdm1",0.422739327777429,3.99384013246707,0.673515346968899,0.507376682983008,0.942778017412057,-5.38102063196442
"ENSMUSG00000002996","Hbp1",0.323374820831939,5.39583813239736,0.672335823393587,0.508113339553676,0.942916149090899,-5.81605330772096
"ENSMUSG00000015291","Gdi1",-0.140200132097576,8.09197424339091,-0.671438480337459,0.50867416450841,0.942916149090899,-6.80497570230891
"ENSMUSG00000029389","Ddx55",0.139082523719735,5.7758514321173,0.670829178071422,0.509055165839219,0.942916149090899,-6.47104835868436
"ENSMUSG00000019539","Rcn3",0.630275982778807,2.39793934300001,0.669960938949674,0.509598357806439,0.942916149090899,-5.27498169802703
"ENSMUSG00000046865","Fbl",0.0699800958334578,7.44938338067036,0.669927377046959,0.509619361462975,0.942916149090899,-6.8925422258068
"ENSMUSG00000028741","Mrto4",0.0806391932169266,7.1235587134966,0.669474409275463,0.509902884319397,0.942916149090899,-6.88943181365195
"ENSMUSG00000074896","Ifit3",0.628268122738964,2.57869651087855,0.668915247215675,0.510252998003259,0.942916149090899,-5.25729443810283
"ENSMUSG00000024587","Nars",-0.0803470391142671,8.6071423349873,-0.668857836872095,0.510288952501962,0.942916149090899,-7.0225753110645
"ENSMUSG00000111375","Btbd8",0.546913306491506,0.448128154510137,0.668605006870231,0.510447309705768,0.942916149090899,-5.27534840567318
"ENSMUSG00000025980","Hspd1",-0.0916542459340501,8.38900505757787,-0.668465994563299,0.510534390164975,0.942916149090899,-7.00469986262603
"ENSMUSG00000055538","Zcchc24",0.441006383385561,0.453484787959363,0.66724713533337,0.511298265877203,0.942916149090899,-5.50316794850281
"ENSMUSG00000026663","Atf6",-0.24160512427179,4.32774158800188,-0.667212975383057,0.511319683553493,0.942916149090899,-6.1124517433313
"ENSMUSG00000038172","Ttc39b",-0.113880896108196,7.09559494445335,-0.66598376411411,0.512090709441213,0.942916149090899,-6.87497832186029
"ENSMUSG00000002728","Naa20",-0.119656607987684,6.62949361354782,-0.665385130320719,0.512466438151228,0.942916149090899,-6.70205279449303
"ENSMUSG00000028238","Atp6v0d2",0.641524500291579,-0.124533763803239,0.665134185437308,0.512623987715229,0.942916149090899,-5.35378071105756
"ENSMUSG00000038807","Rap1gap2",-0.408416581184761,0.541979186027231,-0.664848924825576,0.512803114267986,0.942916149090899,-5.51707513807863
"ENSMUSG00000031534","Smim19",-0.322671365558198,4.34825359756466,-0.66456937553329,0.512978688206573,0.942916149090899,-5.53223518277225
"ENSMUSG00000025218","Poll",0.327192453335992,4.03268711419261,0.663870732535664,0.51341762449412,0.942916149090899,-5.7095888251972
"ENSMUSG00000028975","Pex14",-0.197266478381218,4.43774977863476,-0.663607752517903,0.513582900917878,0.942916149090899,-5.97287791093115
"ENSMUSG00000031608","Galnt7",0.283923153713688,4.97999547661515,0.66349478898975,0.513653904765602,0.942916149090899,-5.82042015127163
"ENSMUSG00000024659","Anxa1",0.790667616823669,2.32361707981944,0.663214833735546,0.513829895670974,0.942916149090899,-5.27037664697689
