"","Har48hVsNaive_unique","NoHar48hVsNaive_unique","Har48hVsNaive_NoHar48hVsNaive_intersection"
"631","Garnl3","Trim41","F3"
"632","Acsf2","Asb5","Slc17a9"
"633","Ifitm1","Fgfr3","Kif20a"
"634","Sema4f","5430403G16Rik","Nipbl"
"635","Pla2g4c","Mid2","Atp5pb"
"636","1810009J06Rik","Trgc2","Tuba1c"
"637","Zfp934","Akr1c12","Pik3r5"
"638","Tlr6","Nol4l","Cks2"
"639","Slc5a3","Nr2c2ap","Coq7"
"640","Mx2","Krt10","Prim2"
"641","Ube2o","Dnaaf3","Tdrp"
"642","Ttll13","Efnb3","Irf2"
"643","Khk","Itsn1","Gtf2e2"
"644","Bckdhb","Zfp605","Dnajb9"
"645","Gstk1","Tbkbp1","Stard4"
"646","Grifin","Mmp12","Dyrk2"
"647","Kcnq2","Trav6d-4","Pebp1"
"648","Nim1k","Ltbp3","Pbk"
"649","Rab11fip4","Hycc2","Tcf19"
"650","Nadsyn1","Klra7","Myl12b"
"651","Zfp580","Ncf1","Pmepa1"
"652","Fbxl2","Rbak","Ezr"
"653","Sos1","Uprt","Macf1"
"654","Fam8a1","Sarm1","Hsd17b12"
"655","Rskr","Aqp11","Hspa14"
"656","Zfp268","Ccdc33","Slc29a1"
"657","Magi3","AU041133","Prkcsh"
"658","Dusp23","Sncg","Stt3a"
"659","Trav9n-4","Mab21l3","Gsto1"
"660","1810062G17Rik","Runx2","Cdc6"
"661","2810021J22Rik","Or1o4","Lap3"
"662","Ap5b1","Mfsd9","Gmfg"
"663","Rita1","Axdnd1","Ctla4"
"664","Slc12a9","Morn3","Tnfsf11"
"665","Notch1","Gvin2","Cd3g"
"666","Shf","Hif3a","Pole3"
"667","Pak4","Zfp69","Kmt2e"
"668","Setd7","Nek3","Mvd"
"669","Fitm2","Trpv4","Il6ra"
"670","Zscan18","Slc25a41","Hspa4"
"671","Dock9","Rab44","Nr3c1"
"672","Tlnrd1","Trav3-1","Cops6"
"673","Zfp112","Nostrin","Akna"
"674","Dnaaf9","Rnd1","Prelid2"
"675","Mitf","Dach2","C1qb"
"676","Rrm2b","Lzts3","Ccdc63"
"677","Tnfrsf23","Dcn","Mrpl42"
"678","B3galt4","Myef2l","Selenoh"
"679","Ccr5","Msrb3","Wdhd1"
"680","Tom1l2","Rpl39l","Bin1"
"681","Rpl10-ps3","1700029I15Rik","Kars"
"682","Lrrc61","Nup210l","Hp1bp3"
"683","Kantr","Pdgfrb","Actn1"
"684","Hmbox1","Zpbp","Chaf1a"
"685","Zfyve1","Nkx1-2","Rbpj"
"686","Ddc","Spin2c","Msmo1"
"687","Pkib","Zbtb7c","Crebbp"
"688","Fam124a","Rom1","Vsir"
"689","Ptger3","Sh3d19","Rpp14"
"690","Tdgf1","H3c2","Sec13"
"691","Vwa5a","Pierce2","Gdi1"
"692","Ccdc120","Gpr137c","Oxct1"
"693","Psma8","Cdkl5","Farsb"
"694","Grb7","Ift81","Slc35b2"
"695","H3c1","Cyp2u1","Hccs"
"696","Ccl9","Cd8a","Mtfr1"
"697","Dhh","Acbd7","S1pr4"
"698","Lgalsl","Alox12","Oser1"
"699","Pla2g4f","Dgat2","Ehd1"
"700","Tigit","Gpbar1","Ythdc1"
"701","Lipe","Tecpr2","Elp5"
"702","Gtdc1","Arntl2","Dctpp1"
"703","Ttc23","Samd4","Trbc2"
"704","Arhgap29","Kifc5b","Gps2"
"705","P2rx1","Trav6-4","Aunip"
"706","Hsd17b11","Tspoap1","Psmb5"
"707","Mapre3","Ago4","Ccnb2"
"708","P2ry12","Spp1","Ndc80"
"709","Ppp6r2","Siah3","Rad54l"
"710","Mctp1","Map3k15","Ighm"
"711","Tes3-ps","Tmem86b","Clns1a"
"712","Mfsd4b4","Ighv1-18","Ier2"
"713","Cstdc4","Gpr137b","Lax1"
"714","Lcn2","Prss50","Bop1"
"715","Il17d","Kcns1","Mrpl37"
"716","Trp53bp2","Tcf4","Hmmr"
"717","Alg14","H1f3","Itpkb"
"718","Pcsk9","Nrbp2","Nudc"
"719","Ccdc177","Zfp759","Ppid"
"720","Plekhg4","Slc36a3","Ncaph"
"721","Prrt4","Mdk","Ypel5"
"722","St3gal5","Pnck","Psma1"
"723","Afmid","Acot10","Cd69"
"724","Brdt","Nphp3","Pcf11"
"725","Ophn1","Gm28043","Sesn1"
"726","Itgb5","Sema3f","Med30"
"727","Tmem176a","Cacnb2","H2az1"
"728","Zfp658","Cox4i2","Phf1"
"729","Col5a1","Hsbp1l1","Ranbp10"
"730","Mef2b","Amer1","Ndufs2"
"731","Dgkk","Slc2a10","Anp32e"
"732","Eif3j2","Ccdc167","Bltp1"
"733","Kremen1","Fscn1","Dedd2"
"734","Cd99l2","Clec2l","Inpp5k"
"735","Spag4","Cdc42bpa","Ufsp2"
"736","H2bc27","Fam183b","Stk38"
"737","Naf1","Maneal","Anp32b"
"738","Zfp119b","Gm49322","Pwp1"
"739","H3c4","Gpr155","Lss"
"740","Ankrd9","Dnase1l2","Mcm2"
"741","Large1","Fndc3b","Smarca2"
"742","Nkx1-1","Zfp40","Uba2"
"743","B3gnt5","Ptprj","Herpud2"
"744","P2ry10b","Ighv5-6","Tpbg"
"745","B3gnt9","Setd1a","Prdx3"
"746","Zdhhc1","Napepld","Il21"
"747","Lilrb4b","Tspan17","Bub3"
"748","Cass4","Exoc3l","Tgfbr2"
"749","H2-Oa","Prr7","Hrob"
"750","Yes1","Mapkapk5","Slc31a1"
"751","Mxra7","Niban3","Eftud2"
"752","Atg10","Zfp629","Blmh"
"753","Ccdc141","Pifo","Hars"
"754","Zfp799","Zbtb3","Ntmt1"
"755","Vat1l","Trav6-3","Tspyl1"
"756","Rasgef1a","Zfp992","Plec"
"757","Tspyl4","Nup62cl","Vldlr"
"758","Adamts3","Trav8d-1","Zmynd19"
"759","Nbl1","Gcnt1","Dynll2"
"760","Rbm45","Vpreb1","Etf1"
"761","Pwwp2b","Chmp4c","Pacs1"
"762","Gpr15","Noxred1","Mybl2"
"763","Zfp395","Ropn1l","Aprt"
"764","Ccdc30","Col7a1","Zbtb32"
"765","Rps6ka6","Aph1b","Dhfr"
"766","Rhobtb1","Shc4","Wdr4"
"767","Comtd1","Sgms2","Itga3"
"768","Tmem176b","Fndc3c1","Fli1"
"769","Eepd1","Kif5c","Ifit1bl1"
"770","Sema6c","Acyp2","Sap30"
"771","Ccrl2","Gpr162","Heca"
"772","Ralgps1","Gng10","Eif3i"
"773","Micu3","Zeb2","Fdft1"
"774","Prrg2","Col20a1","Rpf2"
"775","Cul9","Napb","Ccdc58"
"776","Efnb2","Xcl1","Psma4"
"777","Igsf9","Misp3","Rab3ip"
"778","B3gnt8","Sh2d5","Slc25a13"
"779","Cttnbp2nl","Trappc2","Mrps22"
"780","Epb41l5","Rpia","Hemk1"
"781","Slc27a1","Trgc4","Septin6"
"782","Nebl","Mst1","Vgll4"
"783","Entpd2","Tmprss3","Nup37"
"784","Cd38","Disc1","Sat1"
"785","Rnf135","Bmf","Ikbkb"
"786","Cep126","Slc6a12","Lsm2"
"787","Gpr160","Cd59a","Tnfrsf9"
"788","Ano7","Trgv2","Fastkd3"
"789","B3galnt1","Foxs1","Adap1"
"790","Efhc1","Cst6","Litaf"
"791","Srsf12","Ypel4","Arid4b"
"792","Rhoc","Rhbdl3","Sephs1"
"793","Aebp1","Tmem14a","Jpt2"
"794","Fhod1","Magi1","Slc19a2"
"795","Tyro3","C1rl","Son"
"796","Gm5141","Ufsp1","Rgl2"
"797","Pla2g4a","Alyref2","Gusb"
"798","Rab4b","Arhgef5","Hprt"
"799","Txnrd3","Amigo3","Dtx1"
"800","G0s2","Necab3","Pitpnc1"
"801","Myo1h","Bend3","Ciapin1"
"802","Xkrx","Efna2","Arhgef18"
"803","Fzd3","Snx21","Ecd"
"804","Atp7a","Abcb4","Dazap2"
"805","Hdc","Fbxo27","Ccnf"
"806","Septin3","Prss2","Ncor1"
"807","Atosb","Atrip","Dpagt1"
"808","Trav7-3","Igkv14-111","Gsk3b"
"809","H2ac20","Adm","Ncapg"
"810","Slc16a10","Fam83e","Galnt10"
"811","Ctxn1","Igkv6-25","Abcb8"
"812","Zfp229","Kiss1r","Lipa"
"813","Mipol1","B3gat2","Foxm1"
"814","Ankrd29","Igkv6-32","Aen"
"815","Ppm1e","Apol7c","Lum"
"816","Calca","Zfp459","Eef1e1"
"817","Masp2","Peli2","Kmt2c"
"818","S100a4","Trpc1","Drg2"
"819","Alpk1","Serf1","Rbm39"
"820","Ceacam1","Dnhd1","Mrpl20"
"821","Six1","Trip6","Il9"
"822","Fer1l5","AI182371","H2-Q5"
"823","Fbxo48","Atrnl1","Clic4"
"824","Gas6","Cdk3","Orai2"
"825","Gask1a","F8","Pja1"
"826","Fads6","Traj35","Naa50"
"827","Zfp286","Osbpl1a","G6pdx"
"828","Slc25a53","Eml1","Cdca5"
"829","Mmaa","Tubg2","Otud1"
"830","Zfp760","Mbd5","Sc5d"
"831","Ulk4","Tmem17","Gemin6"
"832","Trav15-2-dv6-2","Kctd21","Plek"
"833","Zfp329","Spdya","Nop9"
"834","Usp27x","Bcl2l15","Cd55"
"835","Golm2","Rapsn","Nelfe"
"836","Mex3d","Noxa1","Bcat1"
"837","Steap4","Mtmr7","Ifi206"
"838","Fam187b","Syt13","Ubc"
"839","Zfp974","Hhex","Sgk1"
"840","1700028J19Rik","Cpe","Itpa"
"841","Igsf9b","Map3k13","Acsl6"
"842","Tmem140","Efnb1","Slc43a3"
"843","Ptpdc1","Vcpkmt","Eea1"
"844","Hpn","Fibcd1","Tk1"
"845","Trim36","Frg2f1","Gpcpd1"
"846","Cfap157","Hormad2","Cdca2"
"847","Tesk2","Esam","Ddias"
"848","Acot11","Sncb","Slc38a2"
"849","Bri3","Trav6n-6","Swi5"
"850","Gm7324","Acot1","Cd300c2"
"851","Tmem86a","2310034G01Rik","Nup107"
"852","Zfp28","Rflna","1810055G02Rik"
"853","Aldh1l1","Vstm5","Foxf2"
"854","Btbd3","Adamts17","Jagn1"
"855","Galnt4","Slc7a8","Cdc16"
"856","Scg2","Dynlt4","Inhba"
"857","Akap5","Garin1a","H1f2"
"858","Gnaz","Clcn2","Agpat5"
"859","Pltp","Zfp493","Ipo5"
"860","Tasl","Muc2","Kpna3"
"861","Cdc42bpg","Kash5","Drg1"
"862","Rab31","Tnnc1","Pycrl"
"863","Vmn2r96","Usp54","Kmt2d"
"864","Papln","Sele","Acsl3"
"865","Fam219a","Ighv1-15","Csk"
"866","Ttc34","Per2","Cdk2"
"867","Gpd1","Gad2","Fcna"
"868","Enah","Trim30b","Ly6e"
"869","Kctd7","Acacb","Etv3"
"870","Dennd2c",NA,"Il3"
"871","Fes",NA,"Hcst"
"872","Fam20c",NA,"Elof1"
"873","Asic1",NA,"Tdg"
"874","Ccl1",NA,"Jmjd1c"
"875","Apcdd1",NA,"Peli1"
"876","Fam81a",NA,"Ctsz"
"877","Rab2b",NA,"Snrk"
"878","Zfp931",NA,"Parp6"
"879","Camk2n2",NA,"Tpst2"
"880","Fn1",NA,"Mms22l"
"881","Mroh8",NA,"Fbxo5"
"882","Prkaa2",NA,"Il2rg"
"883","Zfp109",NA,"Eif1a"
"884","Midn",NA,"Ccr4"
"885","Btk",NA,"Polr2e"
"886","Lrp5",NA,"Sgo1"
"887","Kdm4d",NA,"Prxl2a"
"888","Pank1",NA,"Tbc1d10c"
"889","Zfyve9",NA,"Adamts10"
"890","Cables1",NA,"Tspan31"
"891","Nkpd1",NA,"Smyd2"
"892","Lrp1",NA,"Fh1"
"893","Klhl23",NA,"Parp10"
"894","Chadl",NA,"Cenpe"
"895","Gpx7",NA,"Flt3l"
"896","Reck",NA,"Syf2"
"897","Npas4",NA,"Eif1ax"
"898","Plcd3",NA,"Rnft1"
"899","Dtx4",NA,"Ptpn18"
"900","Kcnj8",NA,"Zbp1"
"901","Zscan25",NA,"Hax1"
"902","Trav13d-1",NA,"Pafah1b2"
"903","Cxcl10",NA,"Tle4"
"904","Zfp72",NA,"Mia3"
"905","Cbarp",NA,"Rassf5"
"906","Zfp846",NA,"Rilpl2"
"907","Sorbs3",NA,"Nme1"
"908","Mcoln2",NA,"Irf7"
"909","Rin2",NA,"Vdac3"
"910","Ttyh2",NA,"Chchd6"
"911","Zfp612",NA,"Rad51ap1"
"912","Tnfrsf11b",NA,"Hps3"
"913","Bex1",NA,"Nabp1"
"914","Srms",NA,"Zdhhc6"
"915","Sec16b",NA,"Sh3gl1"
"916","Sv2a",NA,"Wdr77"
"917","H2-Q2",NA,"Rassf2"
"918","Katnal1",NA,"Add1"
"919","Pdzd4",NA,"Sars"
"920","Pald1",NA,"Bdh2"
"921","Zbtb42",NA,"Rars"
"922","Neb",NA,"Ncapg2"
"923","4933430I17Rik",NA,"Fam169b"
"924","Cdk14",NA,"Crebrf"
"925","Ryr1",NA,"Rab37"
"926","Sag",NA,"Hk2"
"927","Ppef2",NA,"Comt"
"928","H4c8",NA,"Rpl13a"
"929","Kmo",NA,"Smad7"
"930","Lrp11",NA,"Hspa4l"
"931","Kbtbd7",NA,"Iars"
"932","Otos",NA,"Gfi1"
"933","Bace2",NA,"Cycs"
"934","Gm17455",NA,"Psap"
"935","Thap2",NA,"Pphln1"
"936","Epha2",NA,"Ccl5"
"937","Efcab5",NA,"Phb"
"938","Micall2",NA,"Prmt7"
"939","Igip",NA,"Ing3"
"940","Mapk13",NA,"Chchd2"
"941","Kazald1",NA,"Uck2"
"942","Fgf2",NA,"Hpgd"
"943","Plekha6",NA,"Aacs"
"944","Zfp953",NA,"Ikzf1"
"945","Msc",NA,"Sharpin"
"946","Zfp114",NA,"Polr2c"
"947","Spry4",NA,"Tnrc6b"
"948","Phactr3",NA,"Tafazzin"
"949","Ica1l",NA,"Hacd3"
"950","Evpl",NA,"Itga6"
"951","Cyp11a1",NA,"Rab8b"
"952","Gm4787",NA,"Tmem165"
"953","H4c18",NA,"Nefh"
"954","Tns1",NA,"Clk4"
"955","Rtl5",NA,"Kmt2a"
"956","Tanc2",NA,"Banf1"
"957","Tceal3",NA,"Cdv3"
"958","Cib2",NA,"Pno1"
"959","Ighv10-1",NA,"Armc7"
"960","Smoc1",NA,"Ckb"
"961","Zxdb",NA,"Irf4"
"962","Nrgn",NA,"Arrdc1"
"963",NA,NA,"Pgm1"
"964",NA,NA,"Pias1"
"965",NA,NA,"Mrpl51"
"966",NA,NA,"Atpif1"
"967",NA,NA,"Vcam1"
"968",NA,NA,"Tspan6"
"969",NA,NA,"Chd2"
"970",NA,NA,"Egln1"
"971",NA,NA,"Csrnp1"
"972",NA,NA,"Mlf2"
"973",NA,NA,"Wdr18"
"974",NA,NA,"Pnpla7"
"975",NA,NA,"Hilpda"
"976",NA,NA,"Cdk11b"
"977",NA,NA,"C1qa"
"978",NA,NA,"Far1"
"979",NA,NA,"Dtymk"
"980",NA,NA,"Glrx5"
"981",NA,NA,"Trim30a"
"982",NA,NA,"Impdh2"
"983",NA,NA,"Tent5c"
"984",NA,NA,"Clip1"
"985",NA,NA,"Ddx6"
"986",NA,NA,"Rmdn3"
"987",NA,NA,"Eno1b"
"988",NA,NA,"Nudcd1"
"989",NA,NA,"Rere"
"990",NA,NA,"Hspbp1"
"991",NA,NA,"Spata13"
"992",NA,NA,"Ifi27"
"993",NA,NA,"Crabp2"
"994",NA,NA,"Plscr1"
"995",NA,NA,"Cenpw"
"996",NA,NA,"Trap1"
"997",NA,NA,"Runx1"
"998",NA,NA,"Mrpl18"
"999",NA,NA,"H2-T10"
"1000",NA,NA,"Tk2"
"1001",NA,NA,"Arl5c"
"1002",NA,NA,"Ipcef1"
"1003",NA,NA,"Kctd17"
"1004",NA,NA,"BC055324"
"1005",NA,NA,"Abhd16a"
"1006",NA,NA,"Timm10"
"1007",NA,NA,"Phf10"
"1008",NA,NA,"Slc35a1"
"1009",NA,NA,"Ctsd"
"1010",NA,NA,"Mrpl35"
"1011",NA,NA,"Slc12a7"
"1012",NA,NA,"Dock10"
"1013",NA,NA,"Ubl3"
"1014",NA,NA,"Ppcdc"
"1015",NA,NA,"Ndufa12"
"1016",NA,NA,"Ndrg1"
"1017",NA,NA,"Srsf9"
"1018",NA,NA,"Nip7"
"1019",NA,NA,"Ehd3"
"1020",NA,NA,"Trappc13"
"1021",NA,NA,"Hsd11b1"
"1022",NA,NA,"Tlk1"
"1023",NA,NA,"Usp39"
"1024",NA,NA,"Treml4"
"1025",NA,NA,"Tnfaip1"
"1026",NA,NA,"Rab11b"
"1027",NA,NA,"Stk38l"
"1028",NA,NA,"Foxp3"
"1029",NA,NA,"Nrn1"
"1030",NA,NA,"Tgoln1"
"1031",NA,NA,"Cd81"
"1032",NA,NA,"S100a6"
"1033",NA,NA,"Ncaph2"
"1034",NA,NA,"Uba7"
"1035",NA,NA,"Nup54"
"1036",NA,NA,"Exosc2"
"1037",NA,NA,"Adgre4"
"1038",NA,NA,"Trbv16"
"1039",NA,NA,"Sms"
"1040",NA,NA,"Abhd4"
"1041",NA,NA,"Pik3cd"
"1042",NA,NA,"Psph"
"1043",NA,NA,"Dars2"
"1044",NA,NA,"Haus6"
"1045",NA,NA,"Mrpl1"
"1046",NA,NA,"Hivep3"
"1047",NA,NA,"Memo1"
"1048",NA,NA,"9930111J21Rik2"
"1049",NA,NA,"Faap24"
"1050",NA,NA,"Rbmxl1"
"1051",NA,NA,"Ckmt1"
"1052",NA,NA,"Nudt1"
"1053",NA,NA,"Gbp8"
"1054",NA,NA,"Kmt5b"
"1055",NA,NA,"Nlrc5"
"1056",NA,NA,"Lgals1"
"1057",NA,NA,"Kif20b"
"1058",NA,NA,"Poglut2"
"1059",NA,NA,"Zfp281"
"1060",NA,NA,"Ermn"
"1061",NA,NA,"Ifngr2"
"1062",NA,NA,"Plk4"
"1063",NA,NA,"Mtch2"
"1064",NA,NA,"Dlat"
"1065",NA,NA,"Treml2"
"1066",NA,NA,"Lyar"
"1067",NA,NA,"Cd28"
"1068",NA,NA,"Egfl7"
"1069",NA,NA,"Ngly1"
"1070",NA,NA,"Slc4a11"
"1071",NA,NA,"Lars"
"1072",NA,NA,"Rcc2"
"1073",NA,NA,"Paxx"
"1074",NA,NA,"Ddx28"
"1075",NA,NA,"Dnajb4"
"1076",NA,NA,"Acad9"
"1077",NA,NA,"Epsti1"
"1078",NA,NA,"Hyal2"
"1079",NA,NA,"Mndal"
"1080",NA,NA,"Klhdc4"
"1081",NA,NA,"Arl2bp"
"1082",NA,NA,"Tmem256"
"1083",NA,NA,"Bub1"
"1084",NA,NA,"Cpsf2"
"1085",NA,NA,"Arap2"
"1086",NA,NA,"Spic"
"1087",NA,NA,"Gzmb"
"1088",NA,NA,"Nfkbid"
"1089",NA,NA,"Parpbp"
"1090",NA,NA,"Pus7"
"1091",NA,NA,"Ptrh2"
"1092",NA,NA,"Irf2bpl"
"1093",NA,NA,"Cdc123"
"1094",NA,NA,"Msto1"
"1095",NA,NA,"Mt1"
"1096",NA,NA,"Mecr"
"1097",NA,NA,"Mppe1"
"1098",NA,NA,"Melk"
"1099",NA,NA,"Hsdl1"
"1100",NA,NA,"Cd164"
"1101",NA,NA,"Rin3"
"1102",NA,NA,"Phf6"
"1103",NA,NA,"Elf2"
"1104",NA,NA,"Usp14"
"1105",NA,NA,"Lrrc8c"
"1106",NA,NA,"Inpp4b"
"1107",NA,NA,"Use1"
"1108",NA,NA,"Cops5"
"1109",NA,NA,"Ccr8"
"1110",NA,NA,"Kif11"
"1111",NA,NA,"Mydgf"
"1112",NA,NA,"Il17ra"
"1113",NA,NA,"Kif2c"
"1114",NA,NA,"Rps27"
"1115",NA,NA,"Ddb2"
"1116",NA,NA,"Cdk6"
"1117",NA,NA,"Slco3a1"
"1118",NA,NA,"Cd53"
"1119",NA,NA,"Prdx4"
"1120",NA,NA,"Ndufab1"
"1121",NA,NA,"Gpsm3"
"1122",NA,NA,"Slc16a5"
"1123",NA,NA,"Egln3"
"1124",NA,NA,"Ppp1r12a"
"1125",NA,NA,"Ptger2"
"1126",NA,NA,"Orc1"
"1127",NA,NA,"Mrtfa"
"1128",NA,NA,"Uba3"
"1129",NA,NA,"Bnip3"
"1130",NA,NA,"Fam78a"
"1131",NA,NA,"Plekhg2"
"1132",NA,NA,"Apbb1ip"
"1133",NA,NA,"Acot2"
"1134",NA,NA,"Ppp5c"
"1135",NA,NA,"Spag5"
"1136",NA,NA,"Psmb9"
"1137",NA,NA,"Uckl1"
"1138",NA,NA,"Slco2b1"
"1139",NA,NA,"Ppp1r13b"
"1140",NA,NA,"Map3k7"
"1141",NA,NA,"Csnk1g2"
"1142",NA,NA,"Prkcb"
"1143",NA,NA,"Rictor"
"1144",NA,NA,"Ift80"
"1145",NA,NA,"Psmb2"
"1146",NA,NA,"Nt5dc2"
"1147",NA,NA,"Ppm1h"
"1148",NA,NA,"Herc2"
"1149",NA,NA,"Plod2"
"1150",NA,NA,"Chil5"
"1151",NA,NA,"Ramp1"
"1152",NA,NA,"Gbp7"
"1153",NA,NA,"Gar1"
"1154",NA,NA,"Bcl7b"
"1155",NA,NA,"Tesc"
"1156",NA,NA,"Kdelr2"
"1157",NA,NA,"Ppp3ca"
"1158",NA,NA,"1110032F04Rik"
"1159",NA,NA,"Egr2"
"1160",NA,NA,"Ifrd2"
"1161",NA,NA,"Sertad1"
"1162",NA,NA,"Tubb6"
"1163",NA,NA,"Mgst2"
"1164",NA,NA,"Slc44a2"
"1165",NA,NA,"Pdlim4"
"1166",NA,NA,"Grap2"
"1167",NA,NA,"Mrps2"
"1168",NA,NA,"Cenpi"
"1169",NA,NA,"Rbm14"
"1170",NA,NA,"Aspscr1"
"1171",NA,NA,"Slc28a2b"
"1172",NA,NA,"P2ry13"
"1173",NA,NA,"Cdk2ap1"
"1174",NA,NA,"Kdm7a"
"1175",NA,NA,"Timm17a"
"1176",NA,NA,"Vdac2"
"1177",NA,NA,"Adarb1"
"1178",NA,NA,"Ensa"
"1179",NA,NA,"Nuf2"
"1180",NA,NA,"Ddx20"
"1181",NA,NA,"Xrcc6"
"1182",NA,NA,"Pop1"
"1183",NA,NA,"Rnaseh2b"
"1184",NA,NA,"Pdzk1ip1"
"1185",NA,NA,"Asap1"
"1186",NA,NA,"Znrf2"
"1187",NA,NA,"Tln1"
"1188",NA,NA,"Pdss1"
"1189",NA,NA,"Kdm5a"
"1190",NA,NA,"Mapkapk3"
"1191",NA,NA,"Crtc3"
"1192",NA,NA,"Gripap1"
"1193",NA,NA,"Bcar1"
"1194",NA,NA,"Stat1"
"1195",NA,NA,"Phlda3"
"1196",NA,NA,"Eme1"
"1197",NA,NA,"Ddx60"
"1198",NA,NA,"Ppp1cb"
"1199",NA,NA,"Cdc25a"
"1200",NA,NA,"Gpr65"
"1201",NA,NA,"Abhd14a"
"1202",NA,NA,"Rad18"
"1203",NA,NA,"Lman1"
"1204",NA,NA,"Ak1"
"1205",NA,NA,"Ubash3a"
"1206",NA,NA,"Grhpr"
"1207",NA,NA,"Gmip"
"1208",NA,NA,"Filip1l"
"1209",NA,NA,"Cstf2"
"1210",NA,NA,"Psmd12"
"1211",NA,NA,"Trat1"
"1212",NA,NA,"C6"
"1213",NA,NA,"Brf1"
"1214",NA,NA,"Chac1"
"1215",NA,NA,"Abhd8"
"1216",NA,NA,"Atp1b1"
"1217",NA,NA,"Tgfbr3"
"1218",NA,NA,"Ldlrap1"
"1219",NA,NA,"Tmem33"
"1220",NA,NA,"Map9"
"1221",NA,NA,"Chst2"
"1222",NA,NA,"Fam102a"
"1223",NA,NA,"Tex15"
"1224",NA,NA,"Psmb7"
"1225",NA,NA,"Ets2"
"1226",NA,NA,"Retreg1"
"1227",NA,NA,"Ppp1r14b"
"1228",NA,NA,"Rigi"
"1229",NA,NA,"Anxa2"
"1230",NA,NA,"Creld2"
"1231",NA,NA,"Atp5d"
"1232",NA,NA,"Mrpl36"
"1233",NA,NA,"Shcbp1"
"1234",NA,NA,"Sod2"
"1235",NA,NA,"Baz2a"
"1236",NA,NA,"Ifi208"
"1237",NA,NA,"Os9"
"1238",NA,NA,"St8sia6"
"1239",NA,NA,"Egr1"
"1240",NA,NA,"Zfp36l1"
"1241",NA,NA,"Lrr1"
"1242",NA,NA,"Plcl2"
"1243",NA,NA,"Jmy"
"1244",NA,NA,"Ercc6l"
"1245",NA,NA,"Fads1"
"1246",NA,NA,"Cd300ld"
"1247",NA,NA,"Cd247"
"1248",NA,NA,"Hivep2"
"1249",NA,NA,"Hspe1"
"1250",NA,NA,"Sun2"
"1251",NA,NA,"Pold1"
"1252",NA,NA,"Mylip"
"1253",NA,NA,"Opn3"
"1254",NA,NA,"Atp6v1a"
"1255",NA,NA,"Crebzf"
"1256",NA,NA,"Gimap1"
"1257",NA,NA,"Zkscan14"
"1258",NA,NA,"Impa2"
"1259",NA,NA,"Gbp6"
"1260",NA,NA,"Mrpl50"
"1261",NA,NA,"Plcb2"
"1262",NA,NA,"Ctsw"
"1263",NA,NA,"Ctnna1"
"1264",NA,NA,"Arfip2"
"1265",NA,NA,"Aimp2"
"1266",NA,NA,"Smtnl2"
"1267",NA,NA,"Asns"
"1268",NA,NA,"Fem1c"
"1269",NA,NA,"Hacd1"
"1270",NA,NA,"Timm13"
"1271",NA,NA,"Rgs10"
"1272",NA,NA,"Spin4"
"1273",NA,NA,"Smg1"
"1274",NA,NA,"Mrpl12"
"1275",NA,NA,"Crip1"
"1276",NA,NA,"Ints11"
"1277",NA,NA,"Ifi209"
"1278",NA,NA,"Ftsj1"
"1279",NA,NA,"Arl4a"
"1280",NA,NA,"Mrps7"
"1281",NA,NA,"Irf8"
"1282",NA,NA,"Phf11b"
"1283",NA,NA,"Utp6"
"1284",NA,NA,"Orc2"
"1285",NA,NA,"Ccne2"
"1286",NA,NA,"Slc9b2"
"1287",NA,NA,"Izumo1r"
"1288",NA,NA,"Ccdc117"
"1289",NA,NA,"Ifitm10"
"1290",NA,NA,"3110082I17Rik"
"1291",NA,NA,"Vipr1"
"1292",NA,NA,"Akap9"
"1293",NA,NA,"Cdkn1b"
"1294",NA,NA,"Kctd2"
"1295",NA,NA,"Carns1"
"1296",NA,NA,"Ankrd46"
"1297",NA,NA,"Prpf38a"
"1298",NA,NA,"Itga4"
"1299",NA,NA,"Psmc2"
"1300",NA,NA,"Ms4a6b"
"1301",NA,NA,"Mrpl34"
"1302",NA,NA,"Ftl1"
"1303",NA,NA,"Ptprs"
"1304",NA,NA,"Thada"
"1305",NA,NA,"Ifi203"
"1306",NA,NA,"Kif15"
"1307",NA,NA,"Sipa1"
"1308",NA,NA,"Ifnar1"
"1309",NA,NA,"E2f8"
"1310",NA,NA,"Trbc1"
"1311",NA,NA,"C1qc"
"1312",NA,NA,"Psma7"
"1313",NA,NA,"Ehd4"
"1314",NA,NA,"Prex1"
"1315",NA,NA,"Wnk1"
"1316",NA,NA,"Cbx5"
"1317",NA,NA,"Acin1"
"1318",NA,NA,"Sfxn3"
"1319",NA,NA,"Elk4"
"1320",NA,NA,"Vezf1"
"1321",NA,NA,"Spdl1"
"1322",NA,NA,"Smc4"
"1323",NA,NA,"Otud6b"
"1324",NA,NA,"Bcl10"
"1325",NA,NA,"Gpr68"
"1326",NA,NA,"Pals2"
"1327",NA,NA,"Ap2s1"
"1328",NA,NA,"Epop"
"1329",NA,NA,"Ash1l"
"1330",NA,NA,"Zfp292"
"1331",NA,NA,"Thyn1"
"1332",NA,NA,"Tomm5"
"1333",NA,NA,"Nemp1"
"1334",NA,NA,"Gnpat"
"1335",NA,NA,"Ydjc"
"1336",NA,NA,"Esco2"
"1337",NA,NA,"Wdr54"
"1338",NA,NA,"Wars1"
"1339",NA,NA,"Esco1"
"1340",NA,NA,"Sptan1"
"1341",NA,NA,"Zgpat"
