"","gene","logFC1","adj.P.Val1","logFC2","adj.P.Val2","mean_adj.P.Val","logFCDistance"
"27","B3glct",-1.16651814163686,0.00107815060453351,1.34669508013765,7.71442458734667e-05,0.00057764742520349,2.51321322177451
"28","Bik",-1.44988333387754,0.0483149977371624,1.29110320540369,0.0409908756485411,0.0446529366928517,2.74098653928123
"29","Blvrb",1.26390987778721,0.00274767344049441,-1.7880973397747,3.57514547133475e-06,0.00137562429298287,3.05200721756191
"30","Bmp1",-2.45501405774696,0.00369821758327138,2.53062416188708,0.000881697253358651,0.00228995741831502,4.98563821963404
"31","Brms1l",-1.02526167003742,7.63024696355138e-05,1.04938420107826,7.78032386502856e-06,4.20413967502712e-05,2.07464587111568
"32","Car12",-1.37482461591493,0.000191116129513853,2.62114834388783,6.99285896428336e-08,9.55930290517477e-05,3.99597295980276
"33","Card6",1.7456307868399,0.00038348753955949,-4.15659644827676,5.36057464510176e-14,0.000191743769806548,5.90222723511667
"34","Carf",2.29296570854304,4.12204610615884e-05,-1.67649838552245,0.000874157475954369,0.000457688968507979,3.96946409406548
"35","Cask",1.83016828094693,0.00809324218818667,-1.91419473993914,0.00168881680191006,0.00489102949504837,3.74436302088607
"36","Cby1",-3.19080955171118,1.99612912988824e-06,-1.58381462901775,2.6687279820053e-05,1.43417044749706e-05,1.60699492269342
"37","Ccdc74a",-2.16410192089469,0.00813818544938241,1.84544386827881,0.0110053128542586,0.0095717491518205,4.0095457891735
"38","Ccl17",-2.23317485225963,0.0283543228044421,2.31399841805773,0.0101018224339149,0.0192280726191785,4.54717327031736
"39","Ccl22",-3.24979824476276,0.00197058813217237,4.87020652333475,2.57567897479386e-06,0.000986581905573584,8.12000476809752
"40","Ccl4",-1.24308503418399,7.66467002381212e-08,2.66500445849467,4.01223778178048e-15,3.83233521251795e-08,3.90808949267866
"41","Cd177",3.39783987390523,8.90769427291617e-05,-4.07476558833955,1.42990103760365e-07,4.4609966416461e-05,7.47260546224478
"42","Cd320",-1.19383891346426,9.54003862259161e-10,2.67570282011964,1.09442132700282e-17,4.77001936601687e-10,3.8695417335839
"43","Cd55",-1.70254022014916,0.0152712043450492,-4.35356315024367,2.83623983078436e-16,0.00763560217252475,2.65102293009451
"44","Cdan1",1.05233359513793,0.0223359597719062,-1.86735813409142,5.43314841846434e-06,0.0111706964601623,2.91969172922935
"45","Cdh23",1.19065154832893,1.44226912711643e-10,2.94564435835201,9.89844769883251e-17,7.21135058480602e-11,1.75499281002308
"46","Cdh24",1.9893559974236,0.000681036779263388,-1.97673410604207,0.000167033106689114,0.000424034942976251,3.96609010346567
"47","Cdo1",2.3724592024251,0.00765180062627765,-2.54035810621348,0.00131863684727106,0.00448521873677436,4.91281730863859
"48","Cenpa",-1.13880640899823,0.00130329933018677,-3.07344819388087,2.54560166694564e-19,0.000651649665093383,1.93464178488265
"49","Chac1",1.88280793153095,8.22407426781305e-06,5.4973630115375,3.21995438162753e-11,4.11205323367843e-06,3.61455508000655
"50","Chchd10",-1.26649562217415,3.88415643729979e-06,1.1573202029887,1.27540681445924e-06,2.57978162587952e-06,2.42381582516285
"51","Clcn5",-1.1554398111219,0.0497714277091027,1.78823520819139,0.00189712453508224,0.0258342761220925,2.94367501931329
"52","Clec4e",-1.44527197067821,0.0137428728393085,3.9946084918347,1.28706372148922e-06,0.00687207995151498,5.43988046251292
