"","Har24hVsNaive_unique","NoHar24hVsNaive_unique","Har24hVsNaive_NoHar24hVsNaive_intersection"
"1364",NA,NA,"Prorp"
"1365",NA,NA,"Prkar2a"
"1366",NA,NA,"Nub1"
"1367",NA,NA,"Smg1"
"1368",NA,NA,"Rgs10"
"1369",NA,NA,"Mrpl39"
"1370",NA,NA,"Noa1"
"1371",NA,NA,"Ddb2"
"1372",NA,NA,"Carns1"
"1373",NA,NA,"Zfp36l1"
"1374",NA,NA,"Prc1"
"1375",NA,NA,"Plagl2"
"1376",NA,NA,"Chil5"
"1377",NA,NA,"Wdr26"
"1378",NA,NA,"Plcl2"
"1379",NA,NA,"Kdm7a"
"1380",NA,NA,"P2ry13"
"1381",NA,NA,"Creb3"
"1382",NA,NA,"Gripap1"
"1383",NA,NA,"Mapkapk3"
"1384",NA,NA,"Atp5d"
"1385",NA,NA,"Phip"
"1386",NA,NA,"Sqle"
"1387",NA,NA,"Ccne2"
"1388",NA,NA,"Utp20"
"1389",NA,NA,"Selenoh"
"1390",NA,NA,"Dgcr8"
"1391",NA,NA,"Ncapg"
"1392",NA,NA,"Dnmt1"
"1393",NA,NA,"Slc50a1"
"1394",NA,NA,"Cbx5"
"1395",NA,NA,"Ipo11"
"1396",NA,NA,"Patj"
"1397",NA,NA,"Zfp292"
"1398",NA,NA,"Jmy"
"1399",NA,NA,"Plcb2"
"1400",NA,NA,"Trim37"
"1401",NA,NA,"Tafazzin"
"1402",NA,NA,"Sun2"
"1403",NA,NA,"Sac3d1"
"1404",NA,NA,"9930111J21Rik2"
"1405",NA,NA,"Ccser2"
"1406",NA,NA,"Krr1"
"1407",NA,NA,"Cdk2ap1"
"1408",NA,NA,"Zwint"
"1409",NA,NA,"Mecr"
"1410",NA,NA,"Pdap1"
"1411",NA,NA,"Esyt2"
"1412",NA,NA,"E2f8"
"1413",NA,NA,"Nup205"
"1414",NA,NA,"Trbv3"
"1415",NA,NA,"Dhodh"
"1416",NA,NA,"AI467606"
"1417",NA,NA,"2810004N23Rik"
"1418",NA,NA,"Hk2"
"1419",NA,NA,"Ifi209"
"1420",NA,NA,"Ifnar2"
"1421",NA,NA,"Wnk1"
"1422",NA,NA,"Pttg1"
"1423",NA,NA,"Slamf6"
"1424",NA,NA,"Zdhhc6"
"1425",NA,NA,"Aprt"
"1426",NA,NA,"Ncf4"
"1427",NA,NA,"Cstf2"
"1428",NA,NA,"Slc31a1"
"1429",NA,NA,"Abcb8"
"1430",NA,NA,"Zfp367"
"1431",NA,NA,"Spire1"
"1432",NA,NA,"Slc6a6"
"1433",NA,NA,"Tmpo"
"1434",NA,NA,"Ldlrap1"
"1435",NA,NA,"Ifi27l2a"
"1436",NA,NA,"Tiparp"
"1437",NA,NA,"Kctd2"
"1438",NA,NA,"Lsm8"
"1439",NA,NA,"Tgfbr3"
"1440",NA,NA,"Pkn1"
"1441",NA,NA,"Mrpl35"
"1442",NA,NA,"Slc25a13"
"1443",NA,NA,"Suco"
"1444",NA,NA,"Akap9"
"1445",NA,NA,"Mat2b"
"1446",NA,NA,"Gps2"
"1447",NA,NA,"Mrps18a"
"1448",NA,NA,"Parp1"
"1449",NA,NA,"Cd300ld"
"1450",NA,NA,"C6"
"1451",NA,NA,"Cntrl"
"1452",NA,NA,"Atp5pb"
"1453",NA,NA,"Irgm1"
"1454",NA,NA,"Cks2"
"1455",NA,NA,"Gsr"
"1456",NA,NA,"Hivep2"
"1457",NA,NA,"Trbv31"
"1458",NA,NA,"Cpsf4"
"1459",NA,NA,"Nmi"
"1460",NA,NA,"Trbv1"
"1461",NA,NA,"Plrg1"
"1462",NA,NA,"Faah"
"1463",NA,NA,"Ftl1"
"1464",NA,NA,"Slco3a1"
"1465",NA,NA,"Rabggtb"
"1466",NA,NA,"Parp9"
"1467",NA,NA,"Rigi"
"1468",NA,NA,"Hax1"
"1469",NA,NA,"Rnf103"
"1470",NA,NA,"Cdk19"
"1471",NA,NA,"Adgre4"
"1472",NA,NA,"Rbpj"
"1473",NA,NA,"Ak6"
"1474",NA,NA,"Dcaf13"
"1475",NA,NA,"Cenpi"
"1476",NA,NA,"Tln1"
"1477",NA,NA,"Abhd17c"
"1478",NA,NA,"Serpine2"
"1479",NA,NA,"Prkacb"
"1480",NA,NA,"Dnah8"
"1481",NA,NA,"Dpp4"
"1482",NA,NA,"Abtb1"
"1483",NA,NA,"9530068E07Rik"
"1484",NA,NA,"Gpatch4"
"1485",NA,NA,"Phf11b"
"1486",NA,NA,"Gbp7"
"1487",NA,NA,"Klf7"
"1488",NA,NA,"Hsd17b12"
"1489",NA,NA,"Tmem9b"
"1490",NA,NA,"Plk4"
"1491",NA,NA,"Prelid1"
"1492",NA,NA,"Srpk2"
"1493",NA,NA,"Ifi35"
"1494",NA,NA,"Slc46a3"
"1495",NA,NA,"Mrpl40"
"1496",NA,NA,"Ddit3"
"1497",NA,NA,"H2-Ob"
"1498",NA,NA,"Slc25a15"
"1499",NA,NA,"Mgst2"
"1500",NA,NA,"Elf2"
"1501",NA,NA,"Psmd14"
"1502",NA,NA,"Nadk"
"1503",NA,NA,"Nsd3"
"1504",NA,NA,"Nol10"
"1505",NA,NA,"Fam102a"
"1506",NA,NA,"Vsir"
"1507",NA,NA,"Lasp1"
"1508",NA,NA,"Adap1"
"1509",NA,NA,"Prex1"
"1510",NA,NA,"Trbv19"
"1511",NA,NA,"Rnaseh1"
"1512",NA,NA,"Psmc3ip"
"1513",NA,NA,"Fchsd2"
"1514",NA,NA,"Prickle3"
"1515",NA,NA,"Vcp"
"1516",NA,NA,"Lonp2"
"1517",NA,NA,"Numa1"
"1518",NA,NA,"Ccr8"
"1519",NA,NA,"Rnf19a"
"1520",NA,NA,"Sgo1"
"1521",NA,NA,"Naa15"
"1522",NA,NA,"Rpap3"
"1523",NA,NA,"mt-Co1"
"1524",NA,NA,"Pals2"
"1525",NA,NA,"S100a13"
"1526",NA,NA,"Kmt2d"
"1527",NA,NA,"Txnl1"
"1528",NA,NA,"Ubap2"
"1529",NA,NA,"Pus1"
"1530",NA,NA,"Nxt1"
"1531",NA,NA,"Fnbp4"
"1532",NA,NA,"Cmss1"
"1533",NA,NA,"St6gal1"
"1534",NA,NA,"Rps19bp1"
"1535",NA,NA,"Dlat"
"1536",NA,NA,"Tomm20"
"1537",NA,NA,"Ankrd12"
"1538",NA,NA,"Armc6"
"1539",NA,NA,"Atpaf2"
"1540",NA,NA,"Rbm39"
"1541",NA,NA,"Trmt61a"
"1542",NA,NA,"Cmpk2"
"1543",NA,NA,"Cdkn1b"
"1544",NA,NA,"Nr4a1"
"1545",NA,NA,"Gsn"
"1546",NA,NA,"Ccn1"
"1547",NA,NA,"Abhd16a"
"1548",NA,NA,"Hectd1"
"1549",NA,NA,"Yars2"
"1550",NA,NA,"Srsf10"
"1551",NA,NA,"Ccdc117"
"1552",NA,NA,"Knop1"
"1553",NA,NA,"Ube2q2"
"1554",NA,NA,"Tnik"
"1555",NA,NA,"Pelp1"
"1556",NA,NA,"Mre11a"
"1557",NA,NA,"Mgme1"
"1558",NA,NA,"Egfl7"
"1559",NA,NA,"Adh4"
"1560",NA,NA,"Gnpat"
"1561",NA,NA,"Leprotl1"
"1562",NA,NA,"Traip"
"1563",NA,NA,"Melk"
"1564",NA,NA,"Tmem147"
"1565",NA,NA,"Nuf2"
"1566",NA,NA,"Son"
"1567",NA,NA,"Helz2"
"1568",NA,NA,"Grpel1"
"1569",NA,NA,"Senp7"
"1570",NA,NA,"Setx"
"1571",NA,NA,"St8sia6"
"1572",NA,NA,"Eed"
"1573",NA,NA,"Pag1"
"1574",NA,NA,"Ifitm10"
"1575",NA,NA,"Chd7"
"1576",NA,NA,"Fam117a"
"1577",NA,NA,"Fbxo9"
"1578",NA,NA,"Sntb1"
"1579",NA,NA,"Herc3"
"1580",NA,NA,"Twf2"
"1581",NA,NA,"Gucd1"
"1582",NA,NA,"Epsti1"
"1583",NA,NA,"Xpo5"
"1584",NA,NA,"Pla2g12a"
"1585",NA,NA,"Card6"
"1586",NA,NA,"Unc13d"
"1587",NA,NA,"Apex2"
"1588",NA,NA,"Gimap7"
"1589",NA,NA,"Aars"
"1590",NA,NA,"Atad2"
"1591",NA,NA,"Mlec"
"1592",NA,NA,"Sec23b"
"1593",NA,NA,"Itsn2"
"1594",NA,NA,"Pip4p1"
"1595",NA,NA,"Ncapd2"
"1596",NA,NA,"Tamm41"
"1597",NA,NA,"Cstf1"
"1598",NA,NA,"Wdr73"
"1599",NA,NA,"Cops5"
"1600",NA,NA,"Slc16a5"
"1601",NA,NA,"Polr3g"
"1602",NA,NA,"Abca7"
"1603",NA,NA,"Mxd4"
"1604",NA,NA,"Med18"
"1605",NA,NA,"Rtp4"
"1606",NA,NA,"Nvl"
"1607",NA,NA,"H2az2"
"1608",NA,NA,"Foxp3"
"1609",NA,NA,"Gnl2"
"1610",NA,NA,"Fads2"
"1611",NA,NA,"S100a10"
"1612",NA,NA,"Mrpl15"
"1613",NA,NA,"Pmpcb"
"1614",NA,NA,"AB124611"
"1615",NA,NA,"Prpf38a"
"1616",NA,NA,"Aacs"
"1617",NA,NA,"Pdss1"
"1618",NA,NA,"Nol12"
"1619",NA,NA,"Sh2b1"
"1620",NA,NA,"Ptrh2"
"1621",NA,NA,"H2-DMa"
"1622",NA,NA,"Plcxd2"
"1623",NA,NA,"Esco1"
"1624",NA,NA,"Glmp"
"1625",NA,NA,"Clcf1"
"1626",NA,NA,"Hexa"
"1627",NA,NA,"Cdca4"
"1628",NA,NA,"Recql4"
"1629",NA,NA,"Snrpa1"
"1630",NA,NA,"Adrb2"
"1631",NA,NA,"Clip1"
"1632",NA,NA,"Matk"
"1633",NA,NA,"Slc25a32"
"1634",NA,NA,"Rprd1b"
"1635",NA,NA,"Ift57"
"1636",NA,NA,"Mcrip2"
"1637",NA,NA,"Bcl9l"
"1638",NA,NA,"Tnrc6c"
"1639",NA,NA,"Mxd1"
"1640",NA,NA,"Ppp1r7"
"1641",NA,NA,"Ppp2r1b"
"1642",NA,NA,"Lzic"
"1643",NA,NA,"Zfand6"
"1644",NA,NA,"Psmb2"
"1645",NA,NA,"Mepce"
"1646",NA,NA,"Mrps17"
"1647",NA,NA,"Use1"
"1648",NA,NA,"Tssc4"
"1649",NA,NA,"Ccnd2"
"1650",NA,NA,"Polr2b"
"1651",NA,NA,"Fbxl12"
"1652",NA,NA,"Clec2i"
"1653",NA,NA,"Opn3"
"1654",NA,NA,"Slc35a4"
"1655",NA,NA,"Trim13"
"1656",NA,NA,"Naxe"
"1657",NA,NA,"Utp18"
"1658",NA,NA,"Baz2b"
"1659",NA,NA,"Bicra"
"1660",NA,NA,"Nat10"
"1661",NA,NA,"Bsdc1"
"1662",NA,NA,"Nfkbib"
"1663",NA,NA,"Elp2"
"1664",NA,NA,"Irf2bp2"
"1665",NA,NA,"Sap30"
"1666",NA,NA,"Trp53i11"
"1667",NA,NA,"Xrcc3"
"1668",NA,NA,"Nme6"
"1669",NA,NA,"Gatc"
"1670",NA,NA,"Dennd1b"
"1671",NA,NA,"Prkcb"
"1672",NA,NA,"Sesn3"
"1673",NA,NA,"Exosc7"
"1674",NA,NA,"Aff4"
"1675",NA,NA,"Polr1b"
"1676",NA,NA,"Gga2"
"1677",NA,NA,"Chmp1b"
"1678",NA,NA,"Dhrs13"
"1679",NA,NA,"Traf4"
"1680",NA,NA,"Stk4"
"1681",NA,NA,"Vezf1"
"1682",NA,NA,"Furin"
"1683",NA,NA,"Cat"
"1684",NA,NA,"Shcbp1"
"1685",NA,NA,"Gins1"
"1686",NA,NA,"Mcm10"
"1687",NA,NA,"Cdkn2aip"
"1688",NA,NA,"Dctn6"
"1689",NA,NA,"Osgin1"
"1690",NA,NA,"Maff"
"1691",NA,NA,"Atad5"
"1692",NA,NA,"Nasp"
"1693",NA,NA,"St13"
"1694",NA,NA,"Fanci"
"1695",NA,NA,"Polr1e"
"1696",NA,NA,"Get1"
"1697",NA,NA,"Mideas"
"1698",NA,NA,"Arhgap30"
"1699",NA,NA,"Fam185a"
"1700",NA,NA,"Mrpl2"
"1701",NA,NA,"Rufy2"
"1702",NA,NA,"Enoph1"
"1703",NA,NA,"Rab19"
"1704",NA,NA,"Mpp1"
"1705",NA,NA,"Bccip"
"1706",NA,NA,"Cic"
"1707",NA,NA,"Gpn1"
"1708",NA,NA,"Ssx2ip"
"1709",NA,NA,"Dpy30"
"1710",NA,NA,"Fth1"
"1711",NA,NA,"Coq4"
"1712",NA,NA,"Atxn7l1"
"1713",NA,NA,"Esyt1"
"1714",NA,NA,"Eif4b"
"1715",NA,NA,"Mad2l2"
"1716",NA,NA,"Zranb2"
"1717",NA,NA,"Bid"
"1718",NA,NA,"Higd1a"
"1719",NA,NA,"Gna13"
"1720",NA,NA,"Cbx2"
"1721",NA,NA,"Tmem134"
"1722",NA,NA,"Galnt10"
"1723",NA,NA,"Zmym2"
"1724",NA,NA,"Ywhag"
"1725",NA,NA,"Klhdc1"
"1726",NA,NA,"Eif2b3"
"1727",NA,NA,"Exosc4"
"1728",NA,NA,"Klhdc3"
"1729",NA,NA,"Crim1"
"1730",NA,NA,"U2af1"
"1731",NA,NA,"Csnk1g2"
"1732",NA,NA,"Mtss1"
"1733",NA,NA,"Bub1"
"1734",NA,NA,"Gbp9"
"1735",NA,NA,"Tmem167"
"1736",NA,NA,"Cyld"
"1737",NA,NA,"Nom1"
"1738",NA,NA,"Atp2a2"
"1739",NA,NA,"Gmip"
"1740",NA,NA,"Ggt5"
"1741",NA,NA,"Ncbp2"
"1742",NA,NA,"Nutf2"
"1743",NA,NA,"Paxip1"
"1744",NA,NA,"Tnfrsf26"
"1745",NA,NA,"Slc43a3"
"1746",NA,NA,"Gale"
"1747",NA,NA,"Prmt3"
"1748",NA,NA,"Npw"
"1749",NA,NA,"Selenoi"
"1750",NA,NA,"Txndc5"
"1751",NA,NA,"Dctd"
"1752",NA,NA,"Bmp1"
"1753",NA,NA,"Nck2"
"1754",NA,NA,"Pusl1"
"1755",NA,NA,"Pafah1b1"
"1756",NA,NA,"Fasn"
"1757",NA,NA,"Lgals8"
"1758",NA,NA,"Hdlbp"
"1759",NA,NA,"Cdt1"
"1760",NA,NA,"Cpm"
"1761",NA,NA,"Lrr1"
"1762",NA,NA,"Nfkb2"
"1763",NA,NA,"Kif15"
"1764",NA,NA,"Sharpin"
"1765",NA,NA,"Cdc7"
"1766",NA,NA,"Ifit3b"
"1767",NA,NA,"Gimap9"
"1768",NA,NA,"Cfdp1"
"1769",NA,NA,"Tspan14"
"1770",NA,NA,"Exosc9"
"1771",NA,NA,"Ap1ar"
"1772",NA,NA,"Art2b"
"1773",NA,NA,"Cyth3"
"1774",NA,NA,"Pomp"
"1775",NA,NA,"Inpp1"
"1776",NA,NA,"Chkb"
"1777",NA,NA,"Pvr"
"1778",NA,NA,"Cdca2"
"1779",NA,NA,"Atp1b1"
"1780",NA,NA,"Hmgcs1"
"1781",NA,NA,"Trbv12-2"
"1782",NA,NA,"Sla2"
"1783",NA,NA,"Gtf2e1"
"1784",NA,NA,"Elk4"
"1785",NA,NA,"Ly6c2"
"1786",NA,NA,"Ifi27"
"1787",NA,NA,"Man2b1"
"1788",NA,NA,"Trim28"
"1789",NA,NA,"Msl3"
"1790",NA,NA,"Snrpe"
"1791",NA,NA,"Ythdc1"
"1792",NA,NA,"Trim21"
"1793",NA,NA,"Fcgrt"
"1794",NA,NA,"Myg1"
"1795",NA,NA,"Amigo2"
"1796",NA,NA,"9930111J21Rik1"
"1797",NA,NA,"Atg12"
"1798",NA,NA,"Tbp"
"1799",NA,NA,"Igf1"
"1800",NA,NA,"Elp1"
"1801",NA,NA,"Srsf2"
"1802",NA,NA,"Mis12"
"1803",NA,NA,"Trim5"
"1804",NA,NA,"Lancl1"
"1805",NA,NA,"Cul1"
"1806",NA,NA,"Esco2"
"1807",NA,NA,"Slc9a9"
"1808",NA,NA,"Zfp212"
"1809",NA,NA,"Utp14a"
"1810",NA,NA,"Kctd17"
"1811",NA,NA,"Map1lc3a"
"1812",NA,NA,"Dld"
"1813",NA,NA,"1600014C10Rik"
"1814",NA,NA,"Cenps"
"1815",NA,NA,"Mtbp"
"1816",NA,NA,"Dus2"
"1817",NA,NA,"C1qc"
"1818",NA,NA,"Alad"
"1819",NA,NA,"Uba1"
"1820",NA,NA,"Zfp831"
"1821",NA,NA,"Septin2"
"1822",NA,NA,"Cars"
"1823",NA,NA,"Kif11"
"1824",NA,NA,"Stx6"
"1825",NA,NA,"Pced1b"
"1826",NA,NA,"Pitpnb"
"1827",NA,NA,"Mpo"
"1828",NA,NA,"Chd6"
"1829",NA,NA,"Lsm7"
"1830",NA,NA,"Sf3b5"
"1831",NA,NA,"Dna2"
"1832",NA,NA,"Miip"
"1833",NA,NA,"Ddx60"
"1834",NA,NA,"Mrps18b"
"1835",NA,NA,"Ciz1"
"1836",NA,NA,"Kdm5a"
"1837",NA,NA,"Stat2"
"1838",NA,NA,"Lrrc75b"
"1839",NA,NA,"Eif2b4"
"1840",NA,NA,"Aak1"
"1841",NA,NA,"Thap3"
"1842",NA,NA,"Kcnj16"
"1843",NA,NA,"Trafd1"
"1844",NA,NA,"Bcl7b"
"1845",NA,NA,"Zer1"
"1846",NA,NA,"Med13l"
"1847",NA,NA,"Ctse"
"1848",NA,NA,"Usp18"
"1849",NA,NA,"Tusc2"
"1850",NA,NA,"Kntc1"
"1851",NA,NA,"Armc3"
"1852",NA,NA,"Znhit6"
"1853",NA,NA,"Zfp945"
"1854",NA,NA,"Iqcn"
"1855",NA,NA,"Camk4"
"1856",NA,NA,"Arl4c"
"1857",NA,NA,"Sipa1l1"
"1858",NA,NA,"Foxn3"
"1859",NA,NA,"Crls1"
"1860",NA,NA,"Prdx2"
"1861",NA,NA,"Tox"
"1862",NA,NA,"Sgsm3"
"1863",NA,NA,"Tmub1"
"1864",NA,NA,"Pcmtd1"
"1865",NA,NA,"Iqgap2"
"1866",NA,NA,"Cep43"
"1867",NA,NA,"Ubald1"
"1868",NA,NA,"Emc8"
"1869",NA,NA,"Ubash3a"
"1870",NA,NA,"B3galt6"
"1871",NA,NA,"Cd74"
"1872",NA,NA,"Cep350"
"1873",NA,NA,"Wbp1"
"1874",NA,NA,"Stxbp3"
"1875",NA,NA,"Sms"
"1876",NA,NA,"Apol7e"
"1877",NA,NA,"Mrps28"
"1878",NA,NA,"Sertad2"
"1879",NA,NA,"Rnf13"
"1880",NA,NA,"Ydjc"
"1881",NA,NA,"Tmem33"
"1882",NA,NA,"Acaa2"
"1883",NA,NA,"Rorc"
"1884",NA,NA,"Trpv2"
"1885",NA,NA,"Oasl1"
"1886",NA,NA,"Abr"
"1887",NA,NA,"Gpat4"
"1888",NA,NA,"Abitram"
"1889",NA,NA,"Lpcat3"
"1890",NA,NA,"Adgre1"
"1891",NA,NA,"Scarb2"
"1892",NA,NA,"Ep400"
"1893",NA,NA,"Sidt1"
"1894",NA,NA,"Klhdc2"
"1895",NA,NA,"Ncs1"
"1896",NA,NA,"Trbv13-3"
"1897",NA,NA,"Tgtp2"
"1898",NA,NA,"Ttf2"
"1899",NA,NA,"Cstf3"
"1900",NA,NA,"Ube2b"
"1901",NA,NA,"Timd2"
"1902",NA,NA,"Phf11a"
"1903",NA,NA,"Naa25"
"1904",NA,NA,"Rwdd4a"
"1905",NA,NA,"Acoxl"
"1906",NA,NA,"Eif4ebp1"
"1907",NA,NA,"Nagpa"
"1908",NA,NA,"Adh5"
"1909",NA,NA,"Paip2"
"1910",NA,NA,"Kidins220"
"1911",NA,NA,"Mtrr"
"1912",NA,NA,"Rad1"
"1913",NA,NA,"Ankle1"
"1914",NA,NA,"Trim12a"
"1915",NA,NA,"Gimap1"
"1916",NA,NA,"St3gal4"
"1917",NA,NA,"Zwilch"
"1918",NA,NA,"Calu"
"1919",NA,NA,"Smad4"
"1920",NA,NA,"Acat2"
"1921",NA,NA,"Tada2a"
"1922",NA,NA,"Sec11c"
"1923",NA,NA,"Dnlz"
"1924",NA,NA,"Pde4d"
"1925",NA,NA,"Eif3g"
"1926",NA,NA,"Ubr1"
"1927",NA,NA,"Ndufa4"
"1928",NA,NA,"Evi2a"
"1929",NA,NA,"Bdh2"
"1930",NA,NA,"Rsad2"
"1931",NA,NA,"Abcb9"
"1932",NA,NA,"Rdh11"
"1933",NA,NA,"Ppp1r8"
"1934",NA,NA,"Eya2"
"1935",NA,NA,"Grk2"
"1936",NA,NA,"Mrpl13"
"1937",NA,NA,"Il3"
"1938",NA,NA,"Oasl2"
"1939",NA,NA,"Ssr1"
"1940",NA,NA,"Rnf122"
"1941",NA,NA,"Cox7a2l"
"1942",NA,NA,"Ccdc88b"
"1943",NA,NA,"Rpl13a"
"1944",NA,NA,"Rnmt"
"1945",NA,NA,"Ash1l"
"1946",NA,NA,"Gemin5"
"1947",NA,NA,"Fads1"
"1948",NA,NA,"Relch"
"1949",NA,NA,"Ddx6"
"1950",NA,NA,"Mob3c"
"1951",NA,NA,"Gramd1b"
"1952",NA,NA,"Mrps25"
"1953",NA,NA,"Mrpl44"
"1954",NA,NA,"Padi2"
"1955",NA,NA,"Ctso"
"1956",NA,NA,"Lsm3"
"1957",NA,NA,"Ttc7"
"1958",NA,NA,"Dcun1d5"
"1959",NA,NA,"Slc25a33"
"1960",NA,NA,"Slc35d2"
"1961",NA,NA,"Pithd1"
"1962",NA,NA,"Mrpl16"
"1963",NA,NA,"Kif2c"
"1964",NA,NA,"Trim14"
"1965",NA,NA,"Tbxa2r"
"1966",NA,NA,"Dapp1"
"1967",NA,NA,"Sf3a1"
"1968",NA,NA,"Denr"
"1969",NA,NA,"Mfsd2a"
"1970",NA,NA,"Gnl3"
"1971",NA,NA,"Pcid2"
"1972",NA,NA,"Rbm8a"
"1973",NA,NA,"Camk2b"
"1974",NA,NA,"Chst10"
"1975",NA,NA,"Cdk13"
"1976",NA,NA,"Stxbp2"
"1977",NA,NA,"Grk6"
"1978",NA,NA,"Cnot6l"
"1979",NA,NA,"Gmppb"
"1980",NA,NA,"Spag7"
"1981",NA,NA,"Wdr13"
"1982",NA,NA,"Ms4a4c"
"1983",NA,NA,"Fcgr1"
"1984",NA,NA,"Uqcc2"
"1985",NA,NA,"Rfwd3"
"1986",NA,NA,"Aff1"
"1987",NA,NA,"Prkrip1"
"1988",NA,NA,"Bambi"
"1989",NA,NA,"Hsdl1"
"1990",NA,NA,"Slc25a25"
"1991",NA,NA,"Cluh"
"1992",NA,NA,"Cenpn"
"1993",NA,NA,"Synrg"
"1994",NA,NA,"Tapbpl"
"1995",NA,NA,"Grsf1"
"1996",NA,NA,"Prpf4"
"1997",NA,NA,"Ezh1"
"1998",NA,NA,"Strbp"
"1999",NA,NA,"Fam207a"
"2000",NA,NA,"Tmie"
"2001",NA,NA,"Apoe"
"2002",NA,NA,"Tdrkh"
"2003",NA,NA,"Slf1"
"2004",NA,NA,"Kdm2a"
"2005",NA,NA,"Tigd5"
"2006",NA,NA,"Ehd4"
"2007",NA,NA,"Cnih1"
"2008",NA,NA,"Tnfrsf1a"
"2009",NA,NA,"Cenph"
"2010",NA,NA,"Zbtb2"
"2011",NA,NA,"Kbtbd6"
"2012",NA,NA,"Trbv13-1"
"2013",NA,NA,"Pacsin1"
"2014",NA,NA,"Csnk2b"
"2015",NA,NA,"Obi1"
"2016",NA,NA,"Sdad1"
"2017",NA,NA,"Nemp1"
"2018",NA,NA,"Slc40a1"
"2019",NA,NA,"Uba6"
"2020",NA,NA,"Plgrkt"
"2021",NA,NA,"Ptpre"
"2022",NA,NA,"Dsn1"
"2023",NA,NA,"Cenpw"
"2024",NA,NA,"Phf21a"
"2025",NA,NA,"G6pdx"
"2026",NA,NA,"Hid1"
"2027",NA,NA,"Ubox5"
"2028",NA,NA,"Zgpat"
"2029",NA,NA,"Bptf"
"2030",NA,NA,"Rad54b"
"2031",NA,NA,"Il2"
"2032",NA,NA,"Traf3ip2"
"2033",NA,NA,"Stim1"
"2034",NA,NA,"Prg4"
"2035",NA,NA,"Acss1"
"2036",NA,NA,"Pdxk"
"2037",NA,NA,"Ppp1r11"
"2038",NA,NA,"Gtf2h1"
"2039",NA,NA,"Pole2"
"2040",NA,NA,"Msn"
"2041",NA,NA,"Ptgs1"
"2042",NA,NA,"Pmvk"
"2043",NA,NA,"Ccdc63"
"2044",NA,NA,"Pold4"
"2045",NA,NA,"Blm"
"2046",NA,NA,"Med9"
"2047",NA,NA,"Izumo4"
"2048",NA,NA,"Fancd2"
"2049",NA,NA,"Rara"
"2050",NA,NA,"Gbp2"
"2051",NA,NA,"E2f4"
"2052",NA,NA,"Ear2"
"2053",NA,NA,"Faap24"
"2054",NA,NA,"Arhgap27"
"2055",NA,NA,"Wee1"
"2056",NA,NA,"Timm23"
"2057",NA,NA,"Rab33b"
"2058",NA,NA,""
"2059",NA,NA,"Brf1"
"2060",NA,NA,"Cnih4"
"2061",NA,NA,"Avl9"
"2062",NA,NA,"Gins4"
"2063",NA,NA,"Msh6"
"2064",NA,NA,"B4galt1"
"2065",NA,NA,"Stap1"
"2066",NA,NA,"Prps1"
"2067",NA,NA,"Snx20"
"2068",NA,NA,"P2rx4"
"2069",NA,NA,"Sipa1"
"2070",NA,NA,"Gm49336"
"2071",NA,NA,"Hmmr"
"2072",NA,NA,"Amd1"
"2073",NA,NA,"Kbtbd11"
"2074",NA,NA,"Lbp"
"2075",NA,NA,"Oas2"
"2076",NA,NA,"R3hdm4"
"2077",NA,NA,"Pkd1"
"2078",NA,NA,"Csnk2a2"
"2079",NA,NA,"Ccndbp1"
"2080",NA,NA,"Dcaf5"
"2081",NA,NA,"Trmt5"
"2082",NA,NA,"Gpr68"
"2083",NA,NA,"Snx18"
"2084",NA,NA,"Lats2"
"2085",NA,NA,"Fam210a"
"2086",NA,NA,"Dmwd"
"2087",NA,NA,"Enpp1"
"2088",NA,NA,"Fbxo32"
"2089",NA,NA,"Il2rb"
"2090",NA,NA,"Spdl1"
"2091",NA,NA,"Slc26a11"
"2092",NA,NA,"Smurf1"
"2093",NA,NA,"Desi1"
"2094",NA,NA,"Cmtm7"
"2095",NA,NA,"4833420G17Rik"
"2096",NA,NA,"Trbv2"
"2097",NA,NA,"Trmt2a"
"2098",NA,NA,"Cyp20a1"
"2099",NA,NA,"Ttc17"
"2100",NA,NA,"Ndufs6"
"2101",NA,NA,"Fosb"
"2102",NA,NA,"Dpp3"
"2103",NA,NA,"Zbtb20"
"2104",NA,NA,"Pycard"
"2105",NA,NA,"Igsf8"
"2106",NA,NA,"Manf"
"2107",NA,NA,"Rexo2"
"2108",NA,NA,"Tlr1"
"2109",NA,NA,"Aff3"
"2110",NA,NA,"Msto1"
"2111",NA,NA,"Zbtb38"
"2112",NA,NA,"Smc4"
"2113",NA,NA,"Tut1"
"2114",NA,NA,"Wdr90"
"2115",NA,NA,"Pus10"
"2116",NA,NA,"Fam193b"
"2117",NA,NA,"Ddx51"
"2118",NA,NA,"Slfn5"
"2119",NA,NA,"Uba7"
"2120",NA,NA,"Timm9"
"2121",NA,NA,"Vcam1"
"2122",NA,NA,"Maml2"
"2123",NA,NA,"Pwp2"
"2124",NA,NA,"H2bc11"
"2125",NA,NA,"Mertk"
"2126",NA,NA,"Tpst1"
"2127",NA,NA,"Bcl2"
"2128",NA,NA,"Kat2b"
"2129",NA,NA,"Rnf7"
"2130",NA,NA,"Fryl"
"2131",NA,NA,"Lyst"
"2132",NA,NA,"Rfx1"
"2133",NA,NA,"Kif4"
"2134",NA,NA,"Tmc8"
"2135",NA,NA,"Crebzf"
"2136",NA,NA,"Mrpl34"
"2137",NA,NA,"Mlxip"
"2138",NA,NA,"Tlcd1"
"2139",NA,NA,"Ino80e"
"2140",NA,NA,"Swi5"
