"","Har24hVsNaive_unique","NoHar24hVsNaive_unique","Har24hVsNaive_NoHar24hVsNaive_intersection"
"229","Fancl","Taok2","Dtl"
"230","Pex5","Cnep1r1","Igfbp4"
"231","Xlr4b","Dglucy","4930523C07Rik"
"232","Hps1","Ppp1r12c","Stx5a"
"233","Plin3","Tab1","Uchl5"
"234","Aim2","Aifm2","Eif3b"
"235","Pfdn5","Habp4","Cited2"
"236","Cdyl2","Serpinb9","Gapdh"
"237","Zmiz1","Zbtb24","Gtf2i"
"238","Dnajb2","Zfp688","H2-D1"
"239","Rnf168","Mllt6","Arhgap15"
"240","Akip1","Smyd3","Gcsh"
"241","Ahr","Ppp2r5e","Mcm2"
"242","Gstz1","Ece1","Fam136a"
"243","Pnpla8","Arl6ip6","Nudcd2"
"244","Map4k4","Mettl5","Cse1l"
"245","Lamtor4","Fam76a","Tagap"
"246","Tsen34","A130010J15Rik","Ms4a4b"
"247","Mtrf1l","Stk11ip","Phf5a"
"248","Arnt","Ndufb1","Psmd7"
"249","Crybg1","Rpp25l","Rasgrp2"
"250","Cep250","Usp33","Eif2s1"
"251","Kdm4c","Abhd5","Prmt5"
"252","Cbx6","Mtmr9","Pold2"
"253","Mzt1","Ogfod1","Nudt5"
"254","Ckmt1","Tal2","Ppa1"
"255","Gpatch11","Sik3","Ivns1abp"
"256","Tollip","Aldh2","Vamp2"
"257","Tgds","C2cd3","Mif"
"258","Npat","Wdr37","Cks1b"
"259","Zfp623","Atpif1","Pdcd4"
"260","Mbnl2","Agpat4","Pes1"
"261","Prorsd1","Adam15","Dusp5"
"262","Mon1a","Zc3h4","Dapl1"
"263","Pck2","Kansl3","Jakmip1"
"264","Xpr1","Gtpbp3","Akap8l"
"265","Smpd2","Ccdc130","Gps1"
"266","Afp","Slc35a3","Hmga1"
"267","Plekho2","Fam3a","Cd53"
"268","Fkrp","Rnf41","Prkd2"
"269","Rtn4","Rab24","Samhd1"
"270","Ccdc9","Mab21l3","Klf13"
"271","Fbxo7","Ptpn4","Cast"
"272","Irak4","Cgrrf1","Clpp"
"273","Epb41l2","Macrod1","Gnai2"
"274","Dpy19l1","Gmpr2","Rfc3"
"275","Trip4","Msra","Rbms1"
"276","Lgals3","Atg13","E2f1"
"277","Nme4","Sacm1l","Map1lc3b"
"278","Robo3","Il22","Set"
"279","Tulp4","Pan2","Eif6"
"280","Pierce1","Mcm9","Npm1"
"281","Pym1","Lhpp","Itgb2"
"282","Insl6","Dexi","Mthfd2"
"283","Telo2","Rb1","Tubb4b"
"284","Scap","Mul1","Rpa2"
"285","Ppip5k2","Helz","Prr14"
"286","Casp7","Cd2ap","Slc25a39"
"287","Pi4ka","Dhx57","Jak1"
"288","Abhd4","Mgrn1","Stoml2"
"289","Tnk2","Fbxl4","Galk1"
"290","Khsrp","Tmem170b","Rac2"
"291","Rbm15b","Pabpn1","Jpt2"
"292","Cog3","Dnase1l1","Tbc1d10c"
"293","Faap100","Pak6","Sumo3"
"294","Twnk","Slc66a1","Cd4"
"295","Fbxo6","Nts","Ctss"
"296","Setdb1","Nr4a3","Fignl1"
"297","Lrp6","Acot12","Gramd1a"
"298","Tnfrsf22","Epb41","Slc16a1"
"299","Ap3d1","Ahrr","Cbx4"
"300","Brox","Zfp322a","Vim"
"301","Saal1","Smim13","Rgs14"
"302","Fam174a","Hlcs","Ddx27"
"303","Dph1","Sulf2","Arhgef1"
"304","BC029722","Zfp637","Strap"
"305","Nup188","Vps9d1","Pmepa1"
"306","Trib3","Ercc5","Pola2"
"307","Gng2","Ift46","Tacc3"
"308","Sirt1","Ubr2","Kars"
"309","Tubgcp5","Fastkd1","B4galnt1"
"310","Syvn1","Inpp5e","Dock8"
"311","Asrgl1","Snupn","Mthfd1"
"312","Mapk3","Mob1b","Prep"
"313","Fbxl17","Galnt14","Tnf"
"314","Stag3","Ice1","Nrbp1"
"315","Pou4f1","Larp1b","Tomm70a"
"316","Wnk2","Mfap1a","Orc6"
"317","Gpsm1","Fcrl1","Tyms"
"318","Srbd1","Dbt","Cdkn1a"
"319","Pcgf1","Smcr8","Cyc1"
"320","Acox1","Uba52","Ppat"
"321","Rbbp9","Fbxo4","Limd2"
"322","Itgal","Tmem263","Lgals9"
"323","Lysmd3","Crtam","Ergic1"
"324","Uxt","Dhrs1","Pbxip1"
"325","Mfsd8","Trmt2b","Eprs"
"326","Gpc1","2700062C07Rik","H2-Q7"
"327","Mzt2","Kdm8","Cirbp"
"328","Ulbp1","Zfand1","Ccr7"
"329","Alox8","4930522L14Rik","Hdac2"
"330","Susd2","Spag9","Cinp"
"331","Zfp282","Adssl1","Srsf5"
"332","Ddb1","Pip5k1c","Myl12b"
"333","Ap1s2","Sytl3","Hsp90ab1"
"334","Frmd6","Hcfc1r1","Il2ra"
"335","Tbck","Atad2b","Gm8369"
"336","Smco4","Atxn3","Immt"
"337","Cln6","Plekha7","Eri1"
"338","Sdr39u1","Syt11","Traf3ip3"
"339","Anks1","Ccdc85b","Cdca8"
"340","Boll","Scai","Eif4a2"
"341","Id1","Gfpt2","Arhgap9"
"342","Slc52a3","Dennd6a","Smc2"
"343","Mgat4a","Tbc1d4","Dnajc11"
"344","Hopx","Or4d11","Grwd1"
"345","Pcyox1","Atp13a2","Rbbp7"
"346","Decr2","Trim24","Ndrg3"
"347","D6Wsu163e","Ccl17","Gfm1"
"348","Zfp568","Tchp","Hnrnpll"
"349","Braf","Tmem127","Psma5"
"350","Cbx8","Smim26","Naa50"
"351","Cd63","Ncoa1","Cyb5b"
"352","Dkkl1","Axl","Fam107b"
"353","Ccdc30","Endog","Ccdc88c"
"354","Cherp","Apip","Atad3a"
"355","Cxcl2","Ubxn7","Pik3r1"
"356","Atp7a","N4bp2","Gtse1"
