"","Har96hVsNaive_unique","NoHar96hVsNaive_unique","Har96hVsNaive_NoHar96hVsNaive_intersection"
"635","Zfta","Plpp6","Orc6"
"636","Zfp11","Zfp324","Gbp4"
"637","Nebl","Rasa4","Nrm"
"638","Zc3h6","Gm12185","Cyb5a"
"639","Disc1","Btbd8","Ipcef1"
"640","Zxdb","Dennd11","Fam136a"
"641","Zfp808","Zfp317","Ccne1"
"642","Mcam","Spred1","Psmc1"
"643","Grb10","Clcn5","Dpagt1"
"644","Tbc1d12","Hsbp1l1","Akr1a1"
"645","Prss12","Serpinb6b","Ubr1"
"646","Pawr","Asb5","Pnpla7"
"647","Il20rb","Fndc11","Hmga1"
"648","Tlcd5","Pus7l","Immt"
"649","Zfp931","Spib","Otud1"
"650","Clstn3","Il15","Acp1"
"651","Myadm","Hlx","Fkbp2"
"652","Nmb","Ppic","Ctsz"
"653","Fadd","Dnajc27","Bax"
"654","Fn3k","Gprc5a","Gbp7"
"655","Hypk","Rhbdl3","H1f2"
"656","Fam151b","Pfkfb1","Elof1"
"657","Ctnnal1","Selp","Slc19a1"
"658","Arhgef33","Tmtc2","Adamts10"
"659","Cav2","Jaml","Gps2"
"660","Fitm2","Dennd4c","Plk4"
"661","Nipal3","Pik3r3","Litaf"
"662","Nppc","Msantd2","Hdac1"
"663","Zfp438","Xndc1","Kmt2c"
"664","Best1","Sepsecs","Hcst"
"665","Ptpn13","Ccdc189","Uqcr11"
"666","Gm5141","Kazald1","Kif11"
"667","Bri3","Ascl2","Tufm"
"668","Alox5","Slc23a1","Hpgd"
"669","Rimbp3","6330403K07Rik","Phb2"
"670","Ift88","Ddx23","Mybl2"
"671","Ccl9","Trim3","Il9"
"672","Utp14b","Washc1","Mrps6"
"673","Cntln","Zfp607b","Heca"
"674","Mipol1","Ttl","Rad51ap1"
"675","Metrn","Dnajc12","Ak1"
"676","Gas6","Ckap4","Rgl2"
"677","Rnd3","Wnt5b","Hmbs"
"678","Cdc42ep2","Rsph3a","Hsd11b1"
"679","Crppa","Cd63","Hivep2"
"680","Ltf","Il1rl1","Gstp3"
"681","Myo3b","Hycc2","Ywhae"
"682","Lonrf1","Mgat4a","Grhpr"
"683","BC024063","Paox","Nabp1"
"684","Ahr","Papss2","Stc2"
"685","Bhlha15","Mbtps2","Kmt2a"
"686","Ltbr","Eri2","Nfkbia"
"687","Zfp456","Aph1b","Eif4e"
"688","Gm45902","Dcst1","Ccdc50"
"689","Trim69","Zfp369","N4bp2l1"
"690","Nacad","Tpmt","Cdk11b"
"691","Neurl1b","Niban3","Gata3"
"692","Kbtbd8","Ocrl","Serpinf1"
"693","Ap1m2","Paqr8","Tnrc6b"
"694","Wdfy4","Tkfc","Dnajc3"
"695","Alox15","Kremen2","Psma5"
"696","Spata33","Ift81","Mdfic"
"697","Cx3cr1","Eif2ak4","Ddost"
"698","Pxdc1","Erf","Slc43a3"
"699","Ifi211","Odf2l","Spag5"
"700","Nxt2","Lefty1","Apbb1ip"
"701","Wdr76","Ttc39c","Itga6"
"702","Rpl39l","Pigg","Gm8369"
"703","Tbc1d13","Slc25a43","Upp1"
"704","Dpysl5","Bmyc","C1qa"
"705","Bbs7","Itga2","Brd4"
"706","Mcpt8","Prss50","Chd2"
"707","Tmsb15b1","Gm14399","Eif4e3"
"708","Fbxo48","Slc35e2","Twsg1"
"709","Atxn1","Trav9-4","Smarca2"
"710","Tnnt1","Trav13n-1","Sptan1"
"711","Ppef2","Aif1l","S100a10"
"712","H2ac15","Syne4","Trappc6a"
"713","Nrp2","Smim13","Rigi"
"714","Gvin2","Notch4","Cyb5r3"
"715","Nradd","Srpk3","Psmd13"
"716","Ddx25","Ocstamp","Stx5a"
"717","Fam184b","Dcun1d4","Tfdp2"
"718","Ftl1-ps1","Fbxw10","Kctd17"
"719","Fkbp7","Bbs1","Ankrd44"
"720","B3galt2","Wfikkn1","Ncor1"
"721","Nrip3","Ndufaf2","Nr3c1"
"722","Myo1b","Vill","Rnf138"
"723","Tnfsf10","Trbv23","Ptp4a1"
"724","Ddah2","Senp8","Swi5"
"725","Large1","Casp7","Melk"
"726","Klf12","Cramp1","Jund"
"727","Gpnmb","Begain","Tgfbr2"
"728","Sema6c","Rps6kc1","Sf3b1"
"729","Zfp59","Hrh2","Alg8"
"730","Fgfr1","Tmcc3","Treml4"
"731","Igkv5-39","Trps1","Il24"
"732","Cmtm8","Grifin","Pimreg"
"733","Slc37a2","Gm17455","Herpud2"
"734","Vipr2","Rsl1","Pgp"
"735","Apol7c","Pex11a","Clip1"
"736","Glis2","C2","Azin2"
"737","9530053A07Rik","Fndc7","Arrb2"
"738","Ttyh2","Gpr141","Zfp622"
"739","Fam110c","Tasl","Acot2"
"740","Zfp992","Trav6-3","mt-Nd5"
"741","Rnf26","Dnai4","Mia3"
"742","Vmn2r96","Ccdc157","Smg1"
"743","Gpr15","Abhd14b","Stk10"
"744","Chml","Klf8","Dhrs1"
"745","Traj6","Trav15-1-dv6-1","Cth"
"746","Kcnb1","Zcchc24","Esco1"
"747","Ina","Foxo3","Irf9"
"748","Itga10","Tmem102","Aldh2"
"749","Iffo2","Carf","Bcl3"
"750","H2bc6","Klhdc9","Gsk3b"
"751","Spdya","Trav13-4-dv7","Parpbp"
"752","Ica1l","B3gnt9","Nuf2"
"753","Rapgef3","Maneal","Rgmb"
"754","Hemgn","Gm8909","Gmps"
"755","Kif7","Chac2","Ddt"
"756","Il13ra1","Zfp334","H3f3b"
"757","P2ry1","Slc16a4","Cinp"
"758","Camk2n2","Itga5","Dnajb4"
"759","Fgd6","Ghdc","Cdc16"
"760","Tmem51","Car9","AA467197"
"761","Cdc42bpg","Cryzl2","Kmt5b"
"762","Ehbp1","Tmem198","Zfp36l1"
"763","Anks6","Mboat4","BC055324"
"764","Mid2","Tacc2","Ccdc117"
"765","Slc19a3","Mtrf1","Tent5c"
"766","Rpgr","Vpreb1","Cnppd1"
"767","Zfp937","Prkra","Ccnl2"
"768","Glyctk","Filip1","Atp5pb"
"769","Pbx3","Mettl15","Mt2"
"770","Spsb2","Doc2g","Cks2"
"771","Zdhhc14","Necab3","Phlda3"
"772","Pbld2","Katnal1","Rras2"
"773","Syde2","Dcaf6","Bmerb1"
"774","Colq","Alox8","Spic"
"775","Esr1","Traj37","Ppp3ca"
"776","Amigo1","Tmem38b","Sorl1"
"777","Cd40","Clec2d","Ppp4r4"
"778","Mycl","Tubb2b","Eno1b"
"779","Tom1l1","Itgb3bp","Gstt1"
"780","Hc","Stk36","Aacs"
"781","Dip2a","Esrp2","Dhfr"
"782",NA,"Auts2","Pea15a"
"783",NA,"Trav6-2","Ramp1"
"784",NA,"Lag3","Kdm7a"
"785",NA,"Fbxo10","Hk2"
"786",NA,"Asb1","Pdcd1"
"787",NA,"Cdkl2","Slco2b1"
"788",NA,"Ung","Ccdc63"
"789",NA,"Slc36a4","Dock10"
"790",NA,"Nmnat2","Parp6"
"791",NA,"Trpm4","Slc6a6"
"792",NA,"Aldh1l1","Tob2"
"793",NA,"Kcnd1","Vcam1"
"794",NA,"Trav7-1","Suv39h1"
"795",NA,"Rwdd2a","Tspan31"
"796",NA,"Rbpms2","Commd3"
"797",NA,"Krt18","Tecpr1"
"798",NA,"Gm14325","Pvr"
"799",NA,"Snn","Prrc2c"
"800",NA,"Mllt11","Pin1"
"801",NA,"Gpat3","Ppm1h"
"802",NA,"Cd59a","Map3k7"
"803",NA,"Trav3-3","Cul2"
"804",NA,"Nqo1","Topbp1"
"805",NA,"Trav6-4","Akap8"
"806",NA,"Tafa3","Syf2"
"807",NA,"Homer3","Espn"
"808",NA,"Rell2","Arl4a"
"809",NA,"Gm4787","Wdr61"
"810",NA,"Nfatc2ip","Impdh2"
"811",NA,"Efna1","Fdft1"
"812",NA,"Kifc3","Herc2"
"813",NA,"Spag1","Kif2c"
"814",NA,"Noxo1","Chil5"
"815",NA,"Fstl3","Tpst2"
"816",NA,"Sprtn","Yars"
"817",NA,"Rapsn","Jmjd1c"
"818",NA,"1700029I15Rik","Cenpi"
"819",NA,"Zfp951","Pmepa1"
"820",NA,"Ggcx","Rin3"
"821",NA,"Sfxn4","Lpxn"
"822",NA,"Zfp772","Psmb5"
"823",NA,"Vgf","Pla2g12a"
"824",NA,"Trav4-4-dv10","P2ry13"
"825",NA,"Crybg3","Dusp6"
"826",NA,"Rpl10-ps3","Jmy"
"827",NA,"Cyb5d2","Son"
"828",NA,"Fam161a","Slc37a4"
"829",NA,"Col7a1","Rfc1"
"830",NA,"Adnp","Ifi208"
"831",NA,"Ttc12","Anxa4"
"832",NA,"Lmln","Dedd2"
"833",NA,"Snx21","Syngr2"
"834",NA,"Hormad2","Traf3ip3"
"835",NA,"Cdkl4","Arid4b"
"836",NA,"Tfap4","Msto1"
"837",NA,"Trpv6","Cavin3"
"838",NA,"Wscd2","Eme1"
"839",NA,"Lynx1","Ncapg2"
"840",NA,"Vkorc1","Ikzf1"
"841",NA,"Adamts6","Slc28a2b"
"842",NA,"Tbc1d8b","Ntmt1"
"843",NA,"Rsph3b","Knstrn"
"844",NA,"Cox6a2","Cuzd1"
"845",NA,"Serpinb1a","Spata13"
"846",NA,"Per3","Crtc3"
"847",NA,"Ugt1a7c","Elk4"
"848",NA,"Aldh1l2","Tnfrsf11b"
"849",NA,"Sema4c","Rel"
"850",NA,"Pde10a","Dock2"
"851",NA,"Brdt","Slc25a13"
"852",NA,"Gm28043","Nop16"
"853",NA,"Cnnm4","Chtf18"
"854",NA,"Sh2d4a","Slc19a2"
"855",NA,"Trgv1","Bub1"
"856",NA,"Pam16l","Nek2"
"857",NA,"BC049715","Kif4"
"858",NA,"Mfsd9","Rmi2"
"859",NA,"Arsk","Plekhg2"
"860",NA,"Igkv12-41","C6"
"861",NA,"BC024978","Ubn1"
"862",NA,"Glce","Il16"
"863",NA,"Styx","Slc25a25"
"864",NA,"Pde4c","Cenpw"
"865",NA,"Tceal3","Mki67"
"866",NA,"Hspa2","Pmvk"
"867",NA,"Prdm15","Hsph1"
"868",NA,"mt-Nd3","Aff4"
"869",NA,"Cd8a","Irf4"
"870",NA,"Nat14","Cdkn1b"
"871",NA,"Dusp23","Csrnp1"
"872",NA,"Arsb","Phf6"
"873",NA,"C1qtnf6","Cd300ld"
"874",NA,"Insrr","Adgre4"
"875",NA,"Casz1","Cenpm"
"876",NA,"Tmem170","Akap9"
"877",NA,"Tff1","Fbxo33"
"878",NA,"Trim45","Mylip"
"879",NA,"Zfp316","Sh3gl1"
"880",NA,"Shc4","Plcb2"
"881",NA,"Atp4a","Carns1"
"882",NA,"Cyp4f17","Uba1"
"883",NA,"Adamts17","Thop1"
"884",NA,"Tnfrsf19","Mrpl17"
"885",NA,"Atp6v0a1","Eif3c"
"886",NA,"Epha1","Patj"
"887",NA,"Myl4","Vipr1"
"888",NA,"Mtx3","Plscr1"
"889",NA,"Prss2","Elovl1"
"890",NA,"Gm12258","Fads1"
"891",NA,"Pecr","Shcbp1"
"892",NA,"Aox2","Mis18bp1"
"893",NA,"Tspyl4","Pole"
"894",NA,"Trav7-3","Fbrsl1"
"895",NA,"Ednrb","Prg4"
"896",NA,"Garnl3","Kif20b"
"897",NA,"Lzts3","Stard7"
"898",NA,"Dok4","Dynll2"
"899",NA,"Rbm12b1","Atp1b1"
"900",NA,"Zfp583","Sgk1"
"901",NA,"Gpr45","Arhgap19"
"902",NA,"Plcg2","Acss2"
"903",NA,"Ache","Cdhr3"
"904",NA,"Nupr1l","Trappc1"
"905",NA,"Setd1a","Tmem45a"
"906",NA,"Uggt2","Sertad1"
"907",NA,"Apol10b","Nrros"
"908",NA,"Efcab5","Hook2"
"909",NA,"Neb","Gipc1"
"910",NA,"Igf2bp2","Srsf9"
"911",NA,"Vat1","Fam78a"
"912",NA,"Hcn3","Rictor"
"913",NA,"Tspear","Socs1"
"914",NA,"Flvcr2","Baz2a"
"915",NA,"Ribc1","Aldoc"
"916",NA,"Fbxo15","Ddias"
"917",NA,"Xkr8","Pdcd4"
"918",NA,"Trav7n-4","Pdlim4"
"919",NA,"Nphp4","Ifi209"
"920",NA,"Fam135a","Srrm2"
"921",NA,"Sh2d5","Acin1"
"922",NA,"Serpina3f","Gbp9"
"923",NA,"Gjd3","Birc6"
"924",NA,"Fhdc1","Sc5d"
"925",NA,"Zfp458","Tra2a"
"926",NA,"Acy3","Tox"
"927",NA,"Tymp","Sesn1"
"928",NA,"Fam217b","Kif15"
"929",NA,"Il17d","Ifngr2"
"930",NA,"Gcnt7","Akr1c18"
"931",NA,"Neil2","Nap1l1"
"932",NA,"Pla2g4f","Plcxd2"
"933",NA,"Dhrs3","Snrk"
"934",NA,"Ihh","Slc38a2"
"935",NA,"Col20a1","Sertad2"
"936",NA,"Homer1","Ercc6l"
"937",NA,"Setmar","Pa2g4"
"938",NA,"Il6","Syngr3"
"939",NA,"Tmem176b","Zfp292"
"940",NA,"Trbv21","9530068E07Rik"
"941",NA,"Zbtb46","Golga7"
"942",NA,"Exd1","C1qtnf12"
"943",NA,"Vangl2","Pgd"
"944",NA,"Kazn","Ckap2l"
"945",NA,"Fbxl2","Ccdc136"
"946",NA,"Tiam2","Capsl"
"947",NA,"Gli1","Psmd7"
"948",NA,"Tvp23a","Spty2d1"
"949",NA,"Cd109","Ptk2b"
"950",NA,"Atrnl1","Clec2l"
"951",NA,"Ildr1","Hspa14"
"952",NA,"Traj35","Ppa1"
"953",NA,"Fosl1","Akap13"
"954",NA,"Mansc1","Ect2"
"955",NA,"Acvr2a","Vsir"
"956",NA,"Agap1","Ifi206"
"957",NA,"Csf2rb2","Orai2"
"958",NA,"Zfp882","Ppp1r13b"
"959",NA,"Trav9-2","C1qc"
"960",NA,"Tubal3","Nlrc5"
"961",NA,"Igkv6-25","Zfp110"
"962",NA,"Sorbs3","Smap2"
"963",NA,"Hapln4","Ppat"
"964",NA,"Tbc1d32","Fem1c"
"965",NA,"Sema4g","Bcl9l"
"966",NA,"Zbtb3","Uchl5"
"967",NA,"Cspg5","Bcar1"
"968",NA,"Gm8251","Tmco3"
"969",NA,"Dnhd1","Psma4"
"970",NA,"Cd36","mt-Nd4"
"971",NA,"BC034090","Atf7ip"
"972",NA,"Nyap1","Erh"
"973",NA,"Marveld2","Pck2"
"974",NA,"Trav16d-dv11","Ubr4"
"975",NA,"1700028J19Rik","Pold1"
"976",NA,"Trav9d-1","Uck2"
"977",NA,"Dtwd2","Pag1"
"978",NA,"Rnd1","Spdl1"
"979",NA,"Skida1","Inhba"
"980",NA,"Trav13-2","Suco"
"981",NA,"Lingo4","Trim12a"
"982",NA,"Dqx1","Gmip"
"983",NA,"Cgas","Hsd17b7"
"984",NA,"Ahcyl","Abhd16a"
"985",NA,"Cdr2l","Rad18"
"986",NA,"Eml1","Scn9a"
"987",NA,"Stkld1","Rnaseh2b"
"988",NA,"Ttc23","Mrpl51"
"989",NA,"Nutm1","Irf2bpl"
"990",NA,"Rtl10","Fah"
"991",NA,"Unc13b","Nek6"
"992",NA,"Pfkfb4","Itsn2"
"993",NA,"Erbb3","Fbxl12"
"994",NA,"Gm4951","St8sia6"
"995",NA,"Cemip2","Cdca4"
"996",NA,"D17H6S53E","Stk39"
"997",NA,"Map3k9","Plec"
"998",NA,"Evi2","Lrrc59"
"999",NA,"Amn","Hmgb3"
"1000",NA,"Prph","Fus"
"1001",NA,"Hip1","Mboat2"
"1002",NA,"Serpinb9b","Glrx3"
"1003",NA,"Plekhg5","Kcnk5"
"1004",NA,"Gpr162","Hells"
"1005",NA,"Trav7d-4","Tars"
"1006",NA,"Selenom","Ckap2"
"1007",NA,"Chadl","Tnik"
"1008",NA,"Wdfy3","Nck2"
"1009",NA,"Nudt17","Smyd2"
"1010",NA,"Zfp605","Etfdh"
"1011",NA,"Rpia","Timm50"
"1012",NA,"Olfm2","Tfg"
"1013",NA,"Ovol1","Tgfbi"
"1014",NA,"Agrp","Trim13"
"1015",NA,"Dnal1","Chst10"
"1016",NA,"Zeb2","Apol7e"
"1017",NA,"Acot6","Mlec"
"1018",NA,"Zfp341","Mettl17"
"1019",NA,"Gm17655","Ephx1"
"1020",NA,"Ppm1n","Ep400"
"1021",NA,"Septin5","Gng2"
"1022",NA,"Nectin4","Ufsp2"
"1023",NA,"Bmpr2","Ash1l"
"1024",NA,"Cap2","Dcxr"
"1025",NA,"Zfp108","Fbxo3"
"1026",NA,"Trim2","Zfp281"
"1027",NA,"Henmt1","Tmem163"
"1028",NA,"Trav9n-4","Slc4a11"
"1029",NA,"Ighv1-15","Mis12"
"1030",NA,"Trav8d-1","Csf1r"
"1031",NA,"9130023H24Rik","Clec2i"
"1032",NA,"Dnm3","Mxd3"
"1033",NA,"Pstpip2","Rgs10"
"1034",NA,"Samd11","Haus4"
"1035",NA,"Gamt","Bcl11b"
"1036",NA,"Mettl21c","Ranbp1"
"1037",NA,"Rasl11a","Adamtsl5"
"1038",NA,"Upb1","Traip"
"1039",NA,"Nanp","Rnf19a"
"1040",NA,"H3c1","Maff"
"1041",NA,"Whrn","Erg28"
"1042",NA,"Zfp558","Ldlrap1"
"1043",NA,"Grin3b","1110059E24Rik"
"1044",NA,"Fcgr3","Cdk2ap1"
"1045",NA,"Zfp112","Uchl1"
"1046",NA,"Ctf1","Peli1"
"1047",NA,"Lrriq3","Asap1"
"1048",NA,"Ltbp4","Ass1"
"1049",NA,"Trav10n","Ablim1"
"1050",NA,"Aqp11","Sntb1"
"1051",NA,"Tbkbp1","Arhgap11a"
"1052",NA,"Trav6d-5","Serpine2"
"1053",NA,"Ccdc167","Avl9"
"1054",NA,"Prodh","Cetn4"
"1055",NA,"Ypel1","Ubxn11"
"1056",NA,"2010109A12Rik","Sigmar1"
"1057",NA,"Kndc1","Cysltr1"
"1058",NA,"Oas1b","Sdf4"
"1059",NA,"Tes3-ps","Mideas"
"1060",NA,"Adam22","Tet3"
"1061",NA,"Nrg4","Gstt3"
"1062",NA,"Tceal8","Atp5d"
"1063",NA,"Zpbp","Clcf1"
"1064",NA,"Tmem221","Ifit3b"
"1065",NA,"Ntng2","Esco2"
"1066",NA,"Ms4a4d","Naa40"
"1067",NA,"Acat3","Ptprs"
"1068",NA,"Mdk","Prex1"
"1069",NA,"Zc2hc1c","Agpat5"
"1070",NA,"Star","Esyt2"
"1071",NA,"Ypel2","Tubb6"
"1072",NA,"Zfp575","Nfatc3"
"1073",NA,"Klra1","Ifi203"
"1074",NA,"Mest","Dnmt1"
"1075",NA,"Plcd3","Arl4c"
"1076",NA,"Bend3","Banf1"
"1077",NA,"Egr4","Acsl3"
"1078",NA,"Slc4a5","Ei24"
"1079",NA,"Dip2c","Rassf2"
"1080",NA,"Tns2","Cenph"
"1081",NA,"Syp","Arap2"
"1082",NA,"Tsacc","Arntl2"
"1083",NA,"Med12l","Psmb2"
"1084",NA,"6430548M08Rik","Hprt"
"1085",NA,"Pltp","Rnf103"
"1086",NA,"Ighv8-8","Fam169b"
"1087",NA,"Dmxl2","Kif23"
"1088",NA,"Scnn1a","Igf1"
"1089",NA,"Ripply3","Stil"
"1090",NA,"Trpv4","Clic4"
"1091",NA,"Calr3","Zfp869"
"1092",NA,"Cct6b","Phgdh"
"1093",NA,"Zfp109","Helz2"
"1094",NA,"Igkv4-57-1","Slc40a1"
"1095",NA,"Trav10d","Pde1a"
"1096",NA,"Adm","H2-Ob"
"1097",NA,"Gzmk","Ninj1"
"1098",NA,"Zfp647","Zfp52"
"1099",NA,NA,"Zbtb20"
"1100",NA,NA,"Scd1"
"1101",NA,NA,"Morf4l1"
"1102",NA,NA,"Elp2"
"1103",NA,NA,"Ccnd2"
"1104",NA,NA,"Mettl26"
"1105",NA,NA,"Hipk2"
"1106",NA,NA,"Ctc1"
"1107",NA,NA,"Zgpat"
"1108",NA,NA,"Slc7a6os"
"1109",NA,NA,"Slc26a11"
"1110",NA,NA,"Rexo1"
"1111",NA,NA,"Sell"
"1112",NA,NA,"Kntc1"
"1113",NA,NA,"Cox6a1"
"1114",NA,NA,"Sh2d3c"
"1115",NA,NA,"Cpsf2"
"1116",NA,NA,"E2f8"
"1117",NA,NA,"Wee1"
"1118",NA,NA,"Trappc13"
"1119",NA,NA,"Lrrc75b"
"1120",NA,NA,"Cep55"
"1121",NA,NA,"Ankrd12"
"1122",NA,NA,"Grn"
"1123",NA,NA,"Fli1"
"1124",NA,NA,"Kcnj16"
"1125",NA,NA,"C1qbp"
"1126",NA,NA,"Psma6"
"1127",NA,NA,"Pif1"
"1128",NA,NA,"Plaur"
"1129",NA,NA,"Hsf1"
"1130",NA,NA,"Ptpn9"
"1131",NA,NA,"Zbtb10"
"1132",NA,NA,"Nsl1"
"1133",NA,NA,"Cebpb"
"1134",NA,NA,"Gmppb"
"1135",NA,NA,"Chek1"
"1136",NA,NA,"Chit1"
"1137",NA,NA,"Mgarp"
"1138",NA,NA,"Ubald1"
"1139",NA,NA,"Phip"
"1140",NA,NA,"Arhgap31"
"1141",NA,NA,"Iqcn"
"1142",NA,NA,"Lss"
"1143",NA,NA,"Cdc25c"
"1144",NA,NA,"Gpld1"
"1145",NA,NA,"Hid1"
"1146",NA,NA,"Akt1"
"1147",NA,NA,"Uvrag"
"1148",NA,NA,"Dennd1c"
"1149",NA,NA,"Rexo2"
"1150",NA,NA,"Actr3b"
"1151",NA,NA,"Spag7"
"1152",NA,NA,"Mrpl20"
"1153",NA,NA,"Akna"
"1154",NA,NA,"Phf10"
"1155",NA,NA,"Azi2"
"1156",NA,NA,"Zwint"
"1157",NA,NA,"Clcn4"
"1158",NA,NA,"Samd9l"
"1159",NA,NA,"Rfx1"
"1160",NA,NA,"Apln"
"1161",NA,NA,"Pitpnm2"
"1162",NA,NA,"Dglucy"
"1163",NA,NA,"Mtss1"
"1164",NA,NA,"Epsti1"
"1165",NA,NA,"Rsad2"
"1166",NA,NA,"Pdlim5"
"1167",NA,NA,"Ckap5"
"1168",NA,NA,"Dctpp1"
"1169",NA,NA,"Gja1"
"1170",NA,NA,"Ikzf3"
"1171",NA,NA,"Klf11"
"1172",NA,NA,"Dlgap4"
"1173",NA,NA,"Rhov"
"1174",NA,NA,"Pacsin1"
"1175",NA,NA,"Haspin"
"1176",NA,NA,"Mfsd2a"
"1177",NA,NA,"Ggt5"
"1178",NA,NA,"Slc25a10"
"1179",NA,NA,"Poc1a"
"1180",NA,NA,"Tlk1"
"1181",NA,NA,"Cbx5"
"1182",NA,NA,"Prkcb"
"1183",NA,NA,"Tsfm"
"1184",NA,NA,"Psrc1"
"1185",NA,NA,"Ddb2"
"1186",NA,NA,"Thada"
"1187",NA,NA,"H1f5"
"1188",NA,NA,"Kmt2e"
"1189",NA,NA,"Ddx6"
"1190",NA,NA,"Lrr1"
"1191",NA,NA,"Selenok"
"1192",NA,NA,"Zc3h12a"
"1193",NA,NA,"Ube2l3"
"1194",NA,NA,"Adrb2"
"1195",NA,NA,"Rnh1"
"1196",NA,NA,"Cbx6"
"1197",NA,NA,"Rsrc2"
"1198",NA,NA,"Rnf144a"
"1199",NA,NA,"Moxd1"
"1200",NA,NA,"Mepce"
"1201",NA,NA,"Eif2s1"
"1202",NA,NA,"Pkig"
"1203",NA,NA,"Comt"
"1204",NA,NA,"Cenpf"
"1205",NA,NA,"Matk"
"1206",NA,NA,"Egfr"
"1207",NA,NA,"Nsd1"
"1208",NA,NA,"Birc2"
"1209",NA,NA,"Sidt1"
"1210",NA,NA,"Car5b"
"1211",NA,NA,"Smtnl2"
"1212",NA,NA,"Haus6"
"1213",NA,NA,"Ptpn18"
"1214",NA,NA,"Tnfrsf8"
"1215",NA,NA,"Zkscan14"
"1216",NA,NA,"Nuak2"
"1217",NA,NA,"Raph1"
"1218",NA,NA,"Stab2"
"1219",NA,NA,"Rbbp6"
"1220",NA,NA,"1810055G02Rik"
"1221",NA,NA,"Espl1"
"1222",NA,NA,"Ncbp2"
"1223",NA,NA,"Vezf1"
"1224",NA,NA,"Rab33b"
"1225",NA,NA,"Cip2a"
"1226",NA,NA,"Trbv16"
"1227",NA,NA,"Kif1b"
"1228",NA,NA,"Ubash3a"
"1229",NA,NA,"Igfbp7"
"1230",NA,NA,"Zdhhc6"
"1231",NA,NA,"Ttf2"
"1232",NA,NA,"Pkd1"
"1233",NA,NA,"1110032F04Rik"
"1234",NA,NA,"Mapkapk2"
"1235",NA,NA,"Snrnp25"
"1236",NA,NA,"Alkbh1"
"1237",NA,NA,"Lgals8"
"1238",NA,NA,"Dsn1"
"1239",NA,NA,"Msmo1"
"1240",NA,NA,"AB124611"
"1241",NA,NA,"G6pdx"
"1242",NA,NA,"Stim1"
"1243",NA,NA,"Icos"
"1244",NA,NA,"Gde1"
"1245",NA,NA,"Mastl"
"1246",NA,NA,"Fcgr1"
"1247",NA,NA,"Dnaja1"
"1248",NA,NA,"Icam2"
"1249",NA,NA,"Garin3"
"1250",NA,NA,"Gad2"
"1251",NA,NA,"Slc9a9"
"1252",NA,NA,"Acoxl"
"1253",NA,NA,"Ctse"
"1254",NA,NA,"Fndc3c1"
"1255",NA,NA,"Epb41l4b"
"1256",NA,NA,"Zbp1"
"1257",NA,NA,"Prelid3b"
"1258",NA,NA,"Gripap1"
"1259",NA,NA,"Zbtb32"
"1260",NA,NA,"Syngr1"
"1261",NA,NA,"Prkab1"
"1262",NA,NA,"Ptgs1"
"1263",NA,NA,"Mppe1"
"1264",NA,NA,"Grap2"
"1265",NA,NA,"Adgre1"
"1266",NA,NA,"Cd84"
"1267",NA,NA,"Trip11"
"1268",NA,NA,"Coq10b"
"1269",NA,NA,"Itga7"
"1270",NA,NA,"Mef2d"
"1271",NA,NA,"Eif2d"
"1272",NA,NA,"Orc1"
"1273",NA,NA,"Clec4a3"
"1274",NA,NA,"Mpo"
"1275",NA,NA,"Paxx"
"1276",NA,NA,"Dmwd"
"1277",NA,NA,"Rnf166"
"1278",NA,NA,"Pttg1"
"1279",NA,NA,"Aprt"
"1280",NA,NA,"Dhcr24"
"1281",NA,NA,"Ear2"
"1282",NA,NA,"Afg3l2"
"1283",NA,NA,"Gadd45g"
"1284",NA,NA,"Stk4"
"1285",NA,NA,"Smc4"
"1286",NA,NA,"Tmem101"
"1287",NA,NA,"Cdk13"
"1288",NA,NA,"Mars1"
"1289",NA,NA,"Tspyl1"
"1290",NA,NA,"Nt5dc2"
"1291",NA,NA,"Etv6"
"1292",NA,NA,"Fosb"
"1293",NA,NA,"Uimc1"
"1294",NA,NA,"Cdc25a"
"1295",NA,NA,"Oip5"
"1296",NA,NA,"Taf7"
"1297",NA,NA,"Sphk1"
"1298",NA,NA,"Crabp2"
"1299",NA,NA,"Slc50a1"
"1300",NA,NA,"Bcl10"
"1301",NA,NA,"B3galnt1"
"1302",NA,NA,"Sun2"
"1303",NA,NA,"mt-Cytb"
"1304",NA,NA,"Ggt7"
"1305",NA,NA,"Kdm5a"
"1306",NA,NA,"Msl2"
"1307",NA,NA,"Amigo2"
"1308",NA,NA,"Gpx4"
"1309",NA,NA,"Plagl2"
"1310",NA,NA,"Fbxw8"
"1311",NA,NA,"Zrsr2"
"1312",NA,NA,"Rasal3"
"1313",NA,NA,"Ripk4"
"1314",NA,NA,"Mertk"
"1315",NA,NA,"Trib1"
"1316",NA,NA,"2410002F23Rik"
"1317",NA,NA,"Myh9"
"1318",NA,NA,"Trp73"
"1319",NA,NA,"Lats2"
"1320",NA,NA,"Dpy19l1"
"1321",NA,NA,"Spc25"
"1322",NA,NA,"Cd40lg"
"1323",NA,NA,"Ska2"
"1324",NA,NA,"Sapcd2"
"1325",NA,NA,"Fasl"
"1326",NA,NA,"Pten"
"1327",NA,NA,"Bcl7b"
"1328",NA,NA,"Zfp367"
"1329",NA,NA,"P4ha2"
"1330",NA,NA,"Map9"
"1331",NA,NA,"Megf8"
"1332",NA,NA,"Art2b"
