"","gene","logFC1","adj.P.Val1","logFC2","adj.P.Val2","mean_adj.P.Val","logFCDistance"
"45","Ccl17",-2.23317485225963,0.0283543228044421,1.32783994153714,0.0366841303637767,0.0325192265841094,3.56101479379677
"46","Ccl22",-3.24979824476276,0.00197058813217237,3.71969046649112,5.62161326666122e-05,0.00101340213241949,6.96948871125388
"47","Ccl6",-1.82217097927025,0.0134829000057156,-3.46804970373992,4.96653118449597e-14,0.00674145000288261,1.64587872446967
"48","Cd177",3.39783987390523,8.90769427291617e-05,-4.08338715284565,1.94284298060305e-13,4.4538471461723e-05,7.48122702675088
"49","Cd320",-1.19383891346426,9.54003862259161e-10,2.10623891863699,4.95979278609659e-16,4.7700217911922e-10,3.30007783210124
"50","Cd55",-1.70254022014916,0.0152712043450492,-4.17921038524395,2.45817803545004e-27,0.00763560217252461,2.47667016509479
"51","Cdc45",-1.10659573691568,0.0170112872735308,3.1923783488656,2.89467041405486e-18,0.00850564363676539,4.29897408578128
"52","Cdh24",1.9893559974236,0.000681036779263388,-3.31747652741115,8.1263768721425e-15,0.000340518389635757,5.30683252483475
"53","Cdo1",2.3724592024251,0.00765180062627765,-1.9394430431253,0.000763699987960424,0.00420775030711904,4.3119022455504
"54","Celf3",2.15158259702173,0.0265983412171283,-1.54010865191681,0.018468884307439,0.0225336127622837,3.69169124893854
"55","Cenpm",-1.61659957457861,0.0381311661500543,2.69704077798128,6.18770019419421e-09,0.0190655861688772,4.31364035255988
"56","Chac1",1.88280793153095,8.22407426781305e-06,5.67847608320014,3.44370788468777e-13,4.11203730609192e-06,3.79566815166919
"57","Chek2",-1.98455654749393,0.0218702065547686,1.03486855069655,0.00289305947226798,0.0123816330135183,3.01942509819048
"58","Ckb",-1.75835060786738,1.99612912988824e-06,1.08973772103432,4.81315157523521e-12,9.98066971519907e-07,2.84808832890169
"59","Clcn5",-1.1554398111219,0.0497714277091027,1.58412835662353,0.00136641102515276,0.0255689193671278,2.73956816774542
"60","Clec4n",-2.636955637718,0.0213533237827596,-4.85724587983682,1.14527332586283e-15,0.0106766618913804,2.22029024211882
"61","Coq7",-1.34574334855495,1.08675792757664e-06,1.54399690799329,5.4118826253675e-13,5.4337923438245e-07,2.88974025654823
"62","Crabp2",-2.97816372134547,1.10409608022606e-05,6.66480787880273,3.42535394544017e-15,5.52048040284297e-06,9.64297160014821
"63","Crebrf",1.17685378289733,2.44055920357681e-05,-2.7612619640429,2.76312390819237e-24,1.22027960178841e-05,3.93811574694023
"64","Creld2",-1.1106432090312,3.9853737449334e-11,1.14568907210566,2.32351931577157e-15,1.99280304843249e-11,2.25633228113686
"65","Crppa",-2.40376859129525,0.0181721916223357,1.5487159810912,0.0186774371107929,0.0184248143665643,3.95248457238646
