"","HarVsNoHar5h_unique","NoHar5hVsNaive_unique","HarVsNoHar5h_NoHar5hVsNaive_intersection"
"1511",NA,"Gpatch4",NA
"1512",NA,"Abhd17c",NA
"1513",NA,"Prrg1",NA
"1514",NA,"Mtdh",NA
"1515",NA,"Pts",NA
"1516",NA,"Mynn",NA
"1517",NA,"Tob2",NA
"1518",NA,"Tlcd1",NA
"1519",NA,"Wipf1",NA
"1520",NA,"Riox1",NA
"1521",NA,"Plagl2",NA
"1522",NA,"Pilra",NA
"1523",NA,"Slc25a12",NA
"1524",NA,"Zfp287",NA
"1525",NA,"Nus1",NA
"1526",NA,"Cyp27a1",NA
"1527",NA,"Tgfbr2",NA
"1528",NA,"Unc93b1",NA
"1529",NA,"Slc14a1",NA
"1530",NA,"Rcbtb2",NA
"1531",NA,"Usp25",NA
"1532",NA,"Gpr68",NA
"1533",NA,"Selenoi",NA
"1534",NA,"Ccdc82",NA
"1535",NA,"Hdac5",NA
"1536",NA,"Stx16",NA
"1537",NA,"Gramd1b",NA
"1538",NA,"Zfyve28",NA
"1539",NA,"Tdg",NA
"1540",NA,"Tbc1d17",NA
"1541",NA,"Nsd1",NA
"1542",NA,"Nrm",NA
"1543",NA,"Pcnt",NA
"1544",NA,"Elf2",NA
"1545",NA,"Timm8a1",NA
"1546",NA,"Washc2",NA
"1547",NA,"Mtx2",NA
"1548",NA,"Slc39a14",NA
"1549",NA,"Hmga1",NA
"1550",NA,"Psmd14",NA
"1551",NA,"Zfp831",NA
"1552",NA,"Ndufa4",NA
"1553",NA,"Bcas3",NA
"1554",NA,"Zfp362",NA
"1555",NA,"Nudcd1",NA
"1556",NA,"Man2c1",NA
"1557",NA,"Fcna",NA
"1558",NA,"Maf",NA
"1559",NA,"Vcam1",NA
"1560",NA,"Ogt",NA
"1561",NA,"Kansl1",NA
"1562",NA,"Syne2",NA
"1563",NA,"Rragd",NA
"1564",NA,"Trafd1",NA
"1565",NA,"Bscl2",NA
"1566",NA,"6030458C11Rik",NA
"1567",NA,"Hsdl1",NA
"1568",NA,"Pcsk4",NA
"1569",NA,"Ralgps2",NA
"1570",NA,"Zc3h7a",NA
"1571",NA,"Abcb9",NA
"1572",NA,"Ppp1r16b",NA
"1573",NA,"Arhgef3",NA
"1574",NA,"Lsm1",NA
"1575",NA,"Zfp68",NA
"1576",NA,"Stat1",NA
"1577",NA,"Gadd45g",NA
"1578",NA,"Lsm2",NA
"1579",NA,"Trim21",NA
"1580",NA,"Fosb",NA
"1581",NA,"Ppp1r13b",NA
"1582",NA,"Saysd1",NA
"1583",NA,"Nop10",NA
"1584",NA,"Fam193b",NA
"1585",NA,"Camk2b",NA
"1586",NA,"Gabrr2",NA
"1587",NA,"Chpf",NA
"1588",NA,"Rhob",NA
"1589",NA,"Tnfrsf13b",NA
"1590",NA,"Tubb6",NA
"1591",NA,"Laptm4a",NA
"1592",NA,"Ncbp1",NA
"1593",NA,"AW209491",NA
"1594",NA,"Stmn1",NA
"1595",NA,"Polr1b",NA
"1596",NA,"Mtch2",NA
"1597",NA,"Ly6c2",NA
"1598",NA,"Ahi1",NA
"1599",NA,"Adgre1",NA
"1600",NA,"Zc3h15",NA
"1601",NA,"Yars2",NA
"1602",NA,"Acaa1a",NA
"1603",NA,"Far1",NA
"1604",NA,"Ascc1",NA
"1605",NA,"Zmiz1",NA
"1606",NA,"Btbd2",NA
"1607",NA,"Cyth3",NA
"1608",NA,"Leprot",NA
"1609",NA,"Tmub2",NA
"1610",NA,"Bicdl1",NA
"1611",NA,"Mlycd",NA
"1612",NA,"Dguok",NA
"1613",NA,"Brd8",NA
"1614",NA,"Kdm7a",NA
"1615",NA,"Cops5",NA
"1616",NA,"Ahnak",NA
"1617",NA,"Rbm33",NA
"1618",NA,"Prps1",NA
"1619",NA,"Nsd3",NA
"1620",NA,"Cfdp1",NA
"1621",NA,"Creld1",NA
"1622",NA,"Insr",NA
"1623",NA,"Mob3a",NA
"1624",NA,"Letm2",NA
"1625",NA,"Btbd19",NA
"1626",NA,"H1f0",NA
"1627",NA,"Hk2",NA
"1628",NA,"Msl1",NA
"1629",NA,"Tyk2",NA
"1630",NA,"Rp9",NA
"1631",NA,"Lgals8",NA
"1632",NA,"Ndufa11",NA
"1633",NA,"Nlrc5",NA
"1634",NA,"Brd3",NA
"1635",NA,"Srpr",NA
"1636",NA,"Sac3d1",NA
"1637",NA,"Ifit2",NA
"1638",NA,"Fam234a",NA
"1639",NA,"Ahcyl1",NA
"1640",NA,"Tacc1",NA
"1641",NA,"Tmem64",NA
"1642",NA,"Ppp1r7",NA
"1643",NA,"Snrpd3",NA
"1644",NA,"Smn1",NA
"1645",NA,"Tmem191",NA
"1646",NA,"Xrn1",NA
"1647",NA,"Kiz",NA
"1648",NA,"Lrrc23",NA
"1649",NA,"4833420G17Rik",NA
"1650",NA,"Herc2",NA
"1651",NA,"Slc30a4",NA
"1652",NA,"Gale",NA
"1653",NA,"Mrps17",NA
"1654",NA,"Orc5",NA
"1655",NA,"Pdap1",NA
"1656",NA,"Litaf",NA
"1657",NA,"Tmem154",NA
"1658",NA,"Mrps18a",NA
"1659",NA,"Xcl1",NA
"1660",NA,"Bsdc1",NA
"1661",NA,"Jmjd4",NA
"1662",NA,"Naga",NA
"1663",NA,"Prrc2b",NA
"1664",NA,"Nfyb",NA
"1665",NA,"Tbc1d5",NA
"1666",NA,"Sephs1",NA
"1667",NA,"Spty2d1",NA
"1668",NA,"Cd72",NA
"1669",NA,"Tmsb4x",NA
"1670",NA,"Mrpl52",NA
"1671",NA,"Arl5a",NA
"1672",NA,"Kmt5b",NA
"1673",NA,"Mrpl3",NA
"1674",NA,"C1qc",NA
"1675",NA,"Gpr146",NA
"1676",NA,"Fah",NA
"1677",NA,"Tigd5",NA
"1678",NA,"Ubald1",NA
"1679",NA,"L1cam",NA
"1680",NA,"Hcst",NA
"1681",NA,"Egln1",NA
"1682",NA,"Slc25a15",NA
"1683",NA,"Limk2",NA
"1684",NA,"Trp53i11",NA
"1685",NA,"Eif4g1",NA
"1686",NA,"Smg9",NA
"1687",NA,"Sh2b1",NA
"1688",NA,"Stk11ip",NA
"1689",NA,"Usp31",NA
"1690",NA,"Tada2a",NA
"1691",NA,"Cacybp",NA
"1692",NA,"Adi1",NA
"1693",NA,"Chil5",NA
"1694",NA,"Surf1",NA
"1695",NA,"Sytl1",NA
"1696",NA,"Birc6",NA
"1697",NA,"Tpst1",NA
"1698",NA,"Hsh2d",NA
"1699",NA,"Cnr2",NA
"1700",NA,"Tex9",NA
"1701",NA,"Ramp3",NA
"1702",NA,"Ubfd1",NA
"1703",NA,"Fam207a",NA
"1704",NA,"Slc41a1",NA
"1705",NA,"Rbm28",NA
"1706",NA,"Snx14",NA
"1707",NA,"Snx18",NA
"1708",NA,"Wls",NA
"1709",NA,"Dcaf5",NA
"1710",NA,"Rnf11",NA
"1711",NA,"Pithd1",NA
"1712",NA,"Mapk14",NA
"1713",NA,"Pinx1",NA
"1714",NA,"Ecm1",NA
"1715",NA,"Icam1",NA
"1716",NA,"Med13",NA
"1717",NA,"Pogk",NA
"1718",NA,"Filip1l",NA
"1719",NA,"Xaf1",NA
"1720",NA,"Ago2",NA
"1721",NA,"Pop1",NA
"1722",NA,"Znfx1",NA
"1723",NA,"Pdcd11",NA
"1724",NA,"Gfer",NA
"1725",NA,"Cdk7",NA
"1726",NA,"Lsm7",NA
"1727",NA,"Polg2",NA
"1728",NA,"Prpf19",NA
"1729",NA,"Emc9",NA
"1730",NA,"Slc52a2",NA
"1731",NA,"Zfp131",NA
"1732",NA,"Fancf",NA
"1733",NA,"Tbc1d2b",NA
"1734",NA,"Bola2",NA
"1735",NA,"Blcap",NA
"1736",NA,"Chd6",NA
"1737",NA,"1700056E22Rik",NA
"1738",NA,"Gpx4",NA
"1739",NA,"Slc46a3",NA
"1740",NA,"Mrpl39",NA
"1741",NA,"Icam2",NA
"1742",NA,"Mtmr4",NA
"1743",NA,"Thap12",NA
"1744",NA,"Atosa",NA
"1745",NA,"Supt16",NA
"1746",NA,"Kmt2d",NA
"1747",NA,"Fgf13",NA
"1748",NA,"Bicral",NA
"1749",NA,"Atp5md",NA
"1750",NA,"Casp2",NA
"1751",NA,"Cks1b",NA
"1752",NA,"Hdhd5",NA
"1753",NA,"Appl2",NA
"1754",NA,"Rcbtb1",NA
"1755",NA,"Cbx7",NA
"1756",NA,"BC003965",NA
"1757",NA,"Rorc",NA
"1758",NA,"Trbv12-2",NA
"1759",NA,"Trbv31",NA
"1760",NA,"Cbl",NA
"1761",NA,"Tlr1",NA
"1762",NA,"Mea1",NA
"1763",NA,"Lrsam1",NA
"1764",NA,"Pole4",NA
"1765",NA,"Ccl1",NA
"1766",NA,"Nhlrc1",NA
"1767",NA,"Dglucy",NA
"1768",NA,"Zap70",NA
"1769",NA,"Nup43",NA
"1770",NA,"1600012H06Rik",NA
"1771",NA,"Cyp4f13",NA
"1772",NA,"Cmpk2",NA
"1773",NA,"Pus1",NA
"1774",NA,"Pcmtd1",NA
"1775",NA,"Lipt2",NA
"1776",NA,"Tet3",NA
"1777",NA,"Acap2",NA
"1778",NA,"Hspa1a",NA
"1779",NA,"Scg5",NA
"1780",NA,"Snap47",NA
"1781",NA,"Ctdnep1",NA
"1782",NA,"Cyria",NA
"1783",NA,"Exosc3",NA
"1784",NA,"Ube2g2",NA
"1785",NA,"Tnk2",NA
"1786",NA,"Fcf1",NA
"1787",NA,"Atp5o",NA
"1788",NA,"Fcgrt",NA
"1789",NA,"Galnt7",NA
"1790",NA,"Cdon",NA
"1791",NA,"Mdp1",NA
"1792",NA,"Txndc17",NA
"1793",NA,"Pqlc3",NA
"1794",NA,"D2hgdh",NA
"1795",NA,"Lss",NA
"1796",NA,"Etv6",NA
"1797",NA,"Rnf25",NA
"1798",NA,"Mrpl47",NA
"1799",NA,"Ehmt2",NA
"1800",NA,"Dctn6",NA
"1801",NA,"Ncoa5",NA
"1802",NA,"Ift57",NA
"1803",NA,"Bptf",NA
"1804",NA,"Derl2",NA
"1805",NA,"Gpr89",NA
"1806",NA,"Ift140",NA
"1807",NA,"Cd300e",NA
"1808",NA,"Plbd2",NA
"1809",NA,"Ankrd28",NA
"1810",NA,"Nfatc1",NA
"1811",NA,"Ctdsp2",NA
"1812",NA,"Nbr1",NA
"1813",NA,"Csf1r",NA
"1814",NA,"Aldh2",NA
"1815",NA,"Dennd1a",NA
"1816",NA,"Slamf7",NA
"1817",NA,"Kcnh3",NA
"1818",NA,"Armc6",NA
"1819",NA,"Rcor3",NA
"1820",NA,"Ankrd49",NA
"1821",NA,"Gng12",NA
"1822",NA,"1810062G17Rik",NA
"1823",NA,"Cstf2",NA
"1824",NA,"Poli",NA
"1825",NA,"3110082I17Rik",NA
"1826",NA,"Baz2a",NA
"1827",NA,"Mrpl28",NA
"1828",NA,"Kmt5c",NA
"1829",NA,"Prag1",NA
"1830",NA,"Mrps28",NA
"1831",NA,"Parp14",NA
"1832",NA,"Fez2",NA
"1833",NA,"Gdpgp1",NA
"1834",NA,"Ap5z1",NA
"1835",NA,"Rapgef4",NA
"1836",NA,"Clec4a3",NA
"1837",NA,"Paqr7",NA
"1838",NA,"Stat2",NA
"1839",NA,"Nbeal2",NA
"1840",NA,"Ptp4a1",NA
"1841",NA,"Fto",NA
"1842",NA,"Exoc4",NA
"1843",NA,"Arrdc3",NA
"1844",NA,"Ftsj1",NA
"1845",NA,"Gfra2",NA
"1846",NA,"Hexim1",NA
"1847",NA,"Pcca",NA
"1848",NA,"Mertk",NA
"1849",NA,"Samd4",NA
"1850",NA,"Card19",NA
"1851",NA,"Pcmtd2",NA
"1852",NA,"Spin4",NA
"1853",NA,"Pdcd1lg2",NA
"1854",NA,"Tamm41",NA
"1855",NA,"B4galt7",NA
"1856",NA,"Arid3b",NA
"1857",NA,"Hectd3",NA
"1858",NA,"Foxj2",NA
"1859",NA,"Sbno2",NA
"1860",NA,"Prickle3",NA
"1861",NA,"Ndufb7",NA
"1862",NA,"Pmel",NA
"1863",NA,"Alpk2",NA
"1864",NA,"Gnl3l",NA
"1865",NA,"Zscan10",NA
"1866",NA,"Hdac10",NA
"1867",NA,"Ywhag",NA
"1868",NA,"Thada",NA
"1869",NA,"Wdr13",NA
"1870",NA,"Sorbs3",NA
"1871",NA,"Lats2",NA
"1872",NA,"Rtn4rl1",NA
"1873",NA,"Med21",NA
"1874",NA,"Pira2",NA
"1875",NA,"Cd209a",NA
"1876",NA,"Fam98c",NA
"1877",NA,"Tbl2",NA
"1878",NA,"Ddi2",NA
"1879",NA,"Ccl20",NA
"1880",NA,"Ctse",NA
"1881",NA,"Emc7",NA
"1882",NA,"Tnfrsf1a",NA
"1883",NA,"Adh1",NA
"1884",NA,"Rgs11",NA
"1885",NA,"Spag7",NA
"1886",NA,"Cox5a",NA
"1887",NA,"Bltp1",NA
"1888",NA,"Higd1a",NA
"1889",NA,"Qtrt2",NA
"1890",NA,"Tmem26",NA
"1891",NA,"Mrps12",NA
"1892",NA,"Glipr1",NA
"1893",NA,"Rab19",NA
"1894",NA,"Polr2l",NA
"1895",NA,"Cad",NA
"1896",NA,"Neto2",NA
"1897",NA,"Acbd6",NA
"1898",NA,"Nab2",NA
"1899",NA,"Fhip2a",NA
"1900",NA,"Dgkd",NA
"1901",NA,"Narf",NA
"1902",NA,"Fam3a",NA
"1903",NA,"Fam83g",NA
"1904",NA,"Ddx55",NA
"1905",NA,"Zdhhc9",NA
"1906",NA,"Git2",NA
"1907",NA,"Cisd1",NA
"1908",NA,"Tra2a",NA
"1909",NA,"Ube2a",NA
"1910",NA,"Cmtr2",NA
"1911",NA,"Clec2i",NA
"1912",NA,"Tsr3",NA
"1913",NA,"Fbxl17",NA
"1914",NA,"Eef1akmt4",NA
"1915",NA,"Tma16",NA
"1916",NA,"Trbv3",NA
"1917",NA,"Tor3a",NA
"1918",NA,"Babam2",NA
"1919",NA,"Sertad3",NA
"1920",NA,"Mindy1",NA
"1921",NA,"Itpr3",NA
"1922",NA,"Mdn1",NA
"1923",NA,"Tor4a",NA
"1924",NA,"Xrcc5",NA
"1925",NA,"Rnf32",NA
"1926",NA,"Rbm45",NA
"1927",NA,"Ezh1",NA
"1928",NA,"Vma21",NA
"1929",NA,"Mak16",NA
"1930",NA,"Sinhcaf",NA
"1931",NA,"Cep95",NA
"1932",NA,"Dtwd1",NA
"1933",NA,"Fam241a",NA
"1934",NA,"Fam118b",NA
"1935",NA,"Pkmyt1",NA
"1936",NA,"Pitpnc1",NA
"1937",NA,"Vkorc1l1",NA
"1938",NA,"Rpp25",NA
"1939",NA,"Dus2",NA
"1940",NA,"Nat10",NA
"1941",NA,"Coq8a",NA
"1942",NA,"Sh2b3",NA
"1943",NA,"AU022252",NA
"1944",NA,"Pag1",NA
"1945",NA,"Manf",NA
"1946",NA,"Chst11",NA
"1947",NA,"Wdr45",NA
"1948",NA,"Hacd2",NA
"1949",NA,"Atp8b2",NA
"1950",NA,"Nomo1",NA
"1951",NA,"Hmgn2",NA
"1952",NA,"Pkp4",NA
"1953",NA,"Trat1",NA
"1954",NA,"Cnep1r1",NA
"1955",NA,"Smurf2",NA
"1956",NA,"Mul1",NA
"1957",NA,"Cks2",NA
"1958",NA,"Adck2",NA
"1959",NA,"Irf6",NA
"1960",NA,"Qsox1",NA
"1961",NA,"Atp1a2",NA
"1962",NA,"Elof1",NA
"1963",NA,"Rbm43",NA
"1964",NA,"Slc25a23",NA
"1965",NA,"Wdr24",NA
"1966",NA,"Cbr1",NA
"1967",NA,"Ino80e",NA
"1968",NA,"Elovl6",NA
"1969",NA,"Smchd1",NA
"1970",NA,"Rbm34",NA
"1971",NA,"Eml2",NA
"1972",NA,"Csf2",NA
"1973",NA,"Slc25a45",NA
"1974",NA,"Tmem131l",NA
"1975",NA,"Tsen2",NA
"1976",NA,"Fry",NA
"1977",NA,"Setd2",NA
"1978",NA,"Carnmt1",NA
"1979",NA,"Zfp945",NA
"1980",NA,"Rtraf",NA
"1981",NA,"Phf3",NA
"1982",NA,"Spice1",NA
"1983",NA,"Trmt2b",NA
"1984",NA,"Ampd1",NA
"1985",NA,"Dse",NA
"1986",NA,"Tent5a",NA
"1987",NA,"Cmss1",NA
"1988",NA,"Itga7",NA
"1989",NA,"Psmg3",NA
"1990",NA,"Cops3",NA
"1991",NA,"Vps41",NA
"1992",NA,"Vps13a",NA
"1993",NA,"Pank3",NA
"1994",NA,"Slfn5",NA
"1995",NA,"Timm8b",NA
"1996",NA,"Dhx33",NA
"1997",NA,"Zfp592",NA
"1998",NA,"Ncbp2",NA
"1999",NA,"Ccser2",NA
"2000",NA,"Pfdn6",NA
"2001",NA,"Gpt2",NA
"2002",NA,"Zfp397",NA
"2003",NA,"Usf1",NA
"2004",NA,"Tmem208",NA
"2005",NA,"Cyhr1",NA
"2006",NA,"Gpr34",NA
"2007",NA,"Gbp6",NA
"2008",NA,"Parp16",NA
"2009",NA,"Patz1",NA
"2010",NA,"Mturn",NA
"2011",NA,"Triobp",NA
"2012",NA,"Map9",NA
"2013",NA,"Mmp13",NA
"2014",NA,"Herc3",NA
"2015",NA,"Id3",NA
"2016",NA,"Cbx8",NA
"2017",NA,"Ccsap",NA
"2018",NA,"Pus7l",NA
"2019",NA,"Rsl1",NA
"2020",NA,"Rnf123",NA
"2021",NA,"Vegfa",NA
"2022",NA,"Dnmt3b",NA
"2023",NA,"Rfx3",NA
"2024",NA,"D3Ertd751e",NA
"2025",NA,"Pole3",NA
"2026",NA,"Pip4p2",NA
"2027",NA,"Cnpy2",NA
"2028",NA,"Cnih1",NA
"2029",NA,"Cd22",NA
"2030",NA,"Smpd5",NA
"2031",NA,"Lrig2",NA
"2032",NA,"Fam120b",NA
"2033",NA,"Ubtd2",NA
"2034",NA,"Txndc9",NA
"2035",NA,"Prkcz",NA
"2036",NA,"Gemin6",NA
"2037",NA,"E2f2",NA
"2038",NA,"Pdss1",NA
"2039",NA,"Lrp8",NA
"2040",NA,"Tnik",NA
"2041",NA,"Gusb",NA
"2042",NA,"Rmnd1",NA
"2043",NA,"Macrod1",NA
"2044",NA,"Celsr1",NA
"2045",NA,"Trerf1",NA
"2046",NA,"Sp140",NA
"2047",NA,"Cd274",NA
"2048",NA,"St6gal1",NA
"2049",NA,"Kdm3a",NA
"2050",NA,"Ctso",NA
"2051",NA,"Pilrb2",NA
"2052",NA,"Mrps22",NA
"2053",NA,"Vav3",NA
"2054",NA,"Trbv17",NA
"2055",NA,"Hspe1",NA
"2056",NA,"Tnpo1",NA
"2057",NA,"Khk",NA
"2058",NA,"Ifi214",NA
"2059",NA,"Ppfia4",NA
"2060",NA,"Was",NA
"2061",NA,"Srgap2",NA
"2062",NA,"Pglyrp1",NA
"2063",NA,"Mcu",NA
"2064",NA,"Rnf145",NA
"2065",NA,"Naxe",NA
"2066",NA,"Rnf43",NA
"2067",NA,"Avl9",NA
"2068",NA,"Ep300",NA
"2069",NA,"Flot2",NA
"2070",NA,"Cetn4",NA
"2071",NA,"Dph6",NA
"2072",NA,"Tut4",NA
"2073",NA,"Zfp110",NA
"2074",NA,"Pear1",NA
"2075",NA,"Tle3",NA
"2076",NA,"Cyp11a1",NA
"2077",NA,"Man2a1",NA
"2078",NA,"Numb",NA
"2079",NA,"Vdac3",NA
"2080",NA,"Ear2",NA
"2081",NA,"D11Wsu47e",NA
"2082",NA,"Aasdhppt",NA
"2083",NA,"Uba6",NA
"2084",NA,"Castor1",NA
"2085",NA,"Nod1",NA
"2086",NA,"Cep83",NA
"2087",NA,"Ndufaf8",NA
"2088",NA,"Herc4",NA
"2089",NA,"1700025G04Rik",NA
"2090",NA,"Rps6ka3",NA
"2091",NA,"Npm3",NA
"2092",NA,"Exosc4",NA
"2093",NA,"Gpat4",NA
"2094",NA,"Slc35a1",NA
"2095",NA,"Acadl",NA
"2096",NA,"Cadm1",NA
"2097",NA,"Il18r1",NA
"2098",NA,"Dync1h1",NA
"2099",NA,"Cd163",NA
"2100",NA,"Gm5134",NA
"2101",NA,"Pigm",NA
"2102",NA,"Phf13",NA
"2103",NA,"Phf11c",NA
"2104",NA,"Nt5dc1",NA
"2105",NA,"Mrps24",NA
"2106",NA,"Poglut1",NA
"2107",NA,"Gga1",NA
"2108",NA,"Cdt1",NA
"2109",NA,"Exosc1",NA
"2110",NA,"Eml3",NA
"2111",NA,"Lypd6b",NA
"2112",NA,"Egln3",NA
"2113",NA,"Rnf39",NA
"2114",NA,"Zfp956",NA
"2115",NA,"Naa35",NA
"2116",NA,"Ganc",NA
"2117",NA,"Mks1",NA
"2118",NA,"Fhip1b",NA
"2119",NA,"Kidins220",NA
"2120",NA,"Nrde2",NA
"2121",NA,"Sh3rf1",NA
"2122",NA,"Gba2",NA
"2123",NA,"Stag2",NA
"2124",NA,"Ddx60",NA
"2125",NA,"Hook1",NA
"2126",NA,"Ripor1",NA
"2127",NA,"Kat2b",NA
"2128",NA,"Atp2a2",NA
"2129",NA,"Med19",NA
"2130",NA,"Mrpl41",NA
"2131",NA,"Atf6b",NA
"2132",NA,"Bag3",NA
"2133",NA,"Spats2",NA
"2134",NA,"Fbxw11",NA
"2135",NA,"Aamdc",NA
"2136",NA,"H2bc4",NA
"2137",NA,"Zfp719",NA
"2138",NA,"Suco",NA
"2139",NA,"Trp53rkb",NA
"2140",NA,"Tbc1d22b",NA
"2141",NA,"Eif3j1",NA
"2142",NA,"Inhba",NA
"2143",NA,"Ubald2",NA
"2144",NA,"Casp6",NA
"2145",NA,"Gm49336",NA
"2146",NA,"Mis12",NA
"2147",NA,"Mycbp",NA
"2148",NA,"Hvcn1",NA
"2149",NA,"Rab3d",NA
"2150",NA,"Creb3l2",NA
"2151",NA,"Hlcs",NA
"2152",NA,"Top1",NA
"2153",NA,"Traf3",NA
"2154",NA,"Slc25a40",NA
"2155",NA,"Wdr19",NA
"2156",NA,"Ankrd13d",NA
"2157",NA,"Rph3al",NA
"2158",NA,"Ripk2",NA
"2159",NA,"Cluh",NA
"2160",NA,"Cyb5r1",NA
"2161",NA,"Sbf1",NA
"2162",NA,"Hivep1",NA
"2163",NA,"Arhgef39",NA
"2164",NA,"Trim12a",NA
"2165",NA,"Ptgs1",NA
"2166",NA,"Mrpl35",NA
"2167",NA,"Rnf126",NA
"2168",NA,"Septin9",NA
"2169",NA,"Pcgf6",NA
"2170",NA,"Slc44a1",NA
"2171",NA,"Hipk2",NA
"2172",NA,"Chchd2l",NA
"2173",NA,"Ccr9",NA
"2174",NA,"Zfp868",NA
"2175",NA,"Klf4",NA
"2176",NA,"Slc25a36",NA
"2177",NA,"Utp11",NA
"2178",NA,"Lgmn",NA
"2179",NA,"Tdrkh",NA
"2180",NA,"Mrps36",NA
"2181",NA,"Pdk2",NA
"2182",NA,"Il1r2",NA
"2183",NA,"Heatr1",NA
"2184",NA,"Abcd2",NA
"2185",NA,"Cxcr6",NA
"2186",NA,"C87436",NA
"2187",NA,"Mrc1",NA
"2188",NA,"Ctnnb1",NA
"2189",NA,"Ebag9",NA
"2190",NA,"Syde2",NA
"2191",NA,"Cacnb1",NA
"2192",NA,"Eny2",NA
"2193",NA,"Nfatc2",NA
"2194",NA,"Rab20",NA
"2195",NA,"Fitm2",NA
"2196",NA,"Arid2",NA
"2197",NA,"Tbx6",NA
"2198",NA,"Bphl",NA
"2199",NA,"Gatd1",NA
"2200",NA,"Sntb2",NA
"2201",NA,"Manba",NA
"2202",NA,"Pdcd5",NA
"2203",NA,"Fryl",NA
"2204",NA,"Eif4e3",NA
"2205",NA,"Cracr2a",NA
"2206",NA,"Setdb2",NA
"2207",NA,"Crmp1",NA
"2208",NA,"Cdk2ap1",NA
"2209",NA,"Pdp2",NA
"2210",NA,"Clybl",NA
"2211",NA,"Erlin1",NA
"2212",NA,"Kif16b",NA
"2213",NA,"Kpna6",NA
"2214",NA,"Ndufaf1",NA
"2215",NA,"Zfp692",NA
"2216",NA,"Ahcy",NA
"2217",NA,"Iffo1",NA
"2218",NA,"Acat2",NA
"2219",NA,"Racgap1",NA
"2220",NA,"Ciart",NA
"2221",NA,"2310057M21Rik",NA
"2222",NA,"Lonrf1",NA
"2223",NA,"Gatc",NA
"2224",NA,"Dym",NA
"2225",NA,"Madd",NA
"2226",NA,"Cep57l1",NA
"2227",NA,"Parn",NA
"2228",NA,"Cntrob",NA
"2229",NA,"Cwc27",NA
"2230",NA,"Zfp512",NA
"2231",NA,"Tyrobp",NA
"2232",NA,"Cdc14a",NA
"2233",NA,"Tmem41b",NA
"2234",NA,"Rpp30",NA
"2235",NA,"Adamts14",NA
"2236",NA,"Slc37a1",NA
"2237",NA,"Vmac",NA
"2238",NA,"Pde3b",NA
"2239",NA,"Prkrip1",NA
"2240",NA,"Utp20",NA
"2241",NA,"Spryd4",NA
"2242",NA,"H3c1",NA
"2243",NA,"Lif",NA
"2244",NA,"Arhgef2",NA
"2245",NA,"Mns1",NA
"2246",NA,"Gprasp1",NA
"2247",NA,"Faap100",NA
"2248",NA,"Fam149b",NA
"2249",NA,"Cdc42ep3",NA
"2250",NA,"Ell2",NA
"2251",NA,"Pdk3",NA
"2252",NA,"Polr2j",NA
"2253",NA,"Tnfrsf23",NA
"2254",NA,"Smyd3",NA
"2255",NA,"Mrpl45",NA
"2256",NA,"Trim5",NA
"2257",NA,"Tifab",NA
"2258",NA,"Tspan6",NA
"2259",NA,"Pgrmc2",NA
"2260",NA,"Ufl1",NA
"2261",NA,"Rwdd1",NA
"2262",NA,"Cdyl",NA
"2263",NA,"Kdm3b",NA
"2264",NA,"Pfas",NA
"2265",NA,"Psmg1",NA
"2266",NA,"Hectd2",NA
"2267",NA,"Apobec1",NA
"2268",NA,"Mettl27",NA
"2269",NA,"B3gnt3",NA
"2270",NA,"Kifc2",NA
"2271",NA,"Acad10",NA
"2272",NA,"Itgad",NA
"2273",NA,"Eloc",NA
"2274",NA,"Ccdc58",NA
"2275",NA,"Adcy3",NA
"2276",NA,"Sap30",NA
"2277",NA,"Cdadc1",NA
"2278",NA,"Elmo2",NA
"2279",NA,"H2ac25",NA
"2280",NA,"Bcl2a1b",NA
"2281",NA,"Sar1b",NA
"2282",NA,"Insig2",NA
"2283",NA,"4931414P19Rik",NA
"2284",NA,"Gtf2e1",NA
"2285",NA,"Dot1l",NA
"2286",NA,"Baz2b",NA
"2287",NA,"Btf3l4",NA
"2288",NA,"Prkar1b",NA
"2289",NA,"Pelp1",NA
"2290",NA,"Msrb2",NA
"2291",NA,"Acod1",NA
"2292",NA,"Plbd1",NA
"2293",NA,"Ilrun",NA
"2294",NA,"Ms4a4c",NA
"2295",NA,"Rnf121",NA
"2296",NA,"Mtmr12",NA
"2297",NA,"Zbtb14",NA
"2298",NA,"Msh3",NA
"2299",NA,"Rab11fip3",NA
"2300",NA,"Tmem101",NA
"2301",NA,"Kcnh2",NA
"2302",NA,"H2-Q4",NA
"2303",NA,"Dbi",NA
"2304",NA,"Shld1",NA
"2305",NA,"Gzma",NA
"2306",NA,"Gstk1",NA
"2307",NA,"Dmpk",NA
"2308",NA,"Nfam1",NA
"2309",NA,"Hps5",NA
"2310",NA,"Ccdc171",NA
"2311",NA,"Atp1a3",NA
"2312",NA,"Ift46",NA
"2313",NA,"Trim59",NA
"2314",NA,"Cep250",NA
"2315",NA,"Bbs12",NA
"2316",NA,"Aimp1",NA
"2317",NA,"Il17f",NA
"2318",NA,"Sipa1l1",NA
"2319",NA,"Rpap3",NA
"2320",NA,"Tspan15",NA
"2321",NA,"Vwa8",NA
"2322",NA,"Pex11g",NA
"2323",NA,"A630001G21Rik",NA
"2324",NA,"Tanc1",NA
"2325",NA,"Smurf1",NA
"2326",NA,"Pid1",NA
"2327",NA,"C9orf72",NA
"2328",NA,"Atl3",NA
